row,column,has_key,gate_phase,visit_count
1,1,0,0,1088
1,1,0,1,564
1,1,1,0,257
1,1,1,1,286
1,2,0,0,488
1,2,0,1,735
1,2,1,0,387
1,2,1,1,345
1,3,0,0,448
1,3,0,1,373
1,3,1,0,314
1,3,1,1,354
1,4,0,0,281
1,4,0,1,325
1,4,1,0,269
1,4,1,1,235
1,5,0,0,267
1,5,0,1,254
1,5,1,0,214
1,5,1,1,230
1,7,0,0,114
1,7,0,1,120
1,7,1,0,299
1,7,1,1,301
1,8,0,0,153
1,8,0,1,132
1,8,1,0,324
1,8,1,1,304
1,9,0,0,145
1,9,0,1,202
1,9,1,0,402
1,9,1,1,414
1,10,0,0,175
1,10,0,1,150
1,10,1,0,541
1,10,1,1,515
1,11,0,0,104
1,11,0,1,140
1,11,1,0,445
1,11,1,1,439
1,12,0,0,62
1,12,0,1,52
1,12,1,0,324
1,12,1,1,357
1,13,0,0,65
1,13,0,1,60
1,13,1,0,328
1,13,1,1,320
2,1,0,0,467
2,1,0,1,655
2,1,1,0,409
2,1,1,1,381
2,2,0,0,817
2,2,0,1,564
2,2,1,0,512
2,2,1,1,540
2,3,0,0,451
2,3,0,1,525
2,3,1,0,452
2,3,1,1,424
2,5,0,0,273
2,5,0,1,278
2,5,1,0,301
2,5,1,1,289
2,7,0,0,215
2,7,0,1,105
2,7,1,0,333
2,7,1,1,212
2,8,0,0,124
2,8,0,1,230
2,8,1,0,254
2,8,1,1,316
2,9,0,0,343
2,9,0,1,211
2,9,1,0,531
2,9,1,1,504
2,10,0,0,300
2,10,0,1,354
2,10,1,0,766
2,10,1,1,837
2,11,0,0,251
2,11,0,1,195
2,11,1,0,621
2,11,1,1,625
2,12,0,0,70
2,12,0,1,68
2,12,1,0,353
2,12,1,1,353
2,13,0,0,58
2,13,0,1,66
2,13,1,0,274
2,13,1,1,266
3,1,0,0,503
3,1,0,1,398
3,1,1,0,329
3,1,1,1,397
3,2,0,0,509
3,2,0,1,765
3,2,1,0,553
3,2,1,1,482
3,3,0,0,662
3,3,0,1,496
3,3,1,0,476
3,3,1,1,529
3,4,0,0,415
3,4,0,1,529
3,4,1,0,490
3,4,1,1,403
3,5,0,0,405
3,5,0,1,376
3,5,1,0,415
3,5,1,1,513
3,6,0,0,420
3,6,0,1,324
3,6,1,0,498
3,6,1,1,281
3,7,0,1,424
3,7,1,1,478
3,8,0,0,431
3,8,0,1,191
3,8,1,0,574
3,8,1,1,346
3,9,0,0,349
3,9,0,1,529
3,9,1,0,573
3,9,1,1,629
3,10,0,0,565
3,10,0,1,498
3,10,1,0,715
3,10,1,1,693
3,11,0,0,401
3,11,0,1,452
3,11,1,0,645
3,11,1,1,625
3,12,1,0,787
3,12,1,1,783
4,1,0,0,362
4,1,0,1,384
4,1,1,0,398
4,1,1,1,382
4,2,0,0,561
4,2,0,1,415
4,2,1,0,514
4,2,1,1,567
4,3,0,0,467
4,3,0,1,618
4,3,1,0,556
4,3,1,1,536
4,4,0,0,688
4,4,0,1,484
4,4,1,0,553
4,4,1,1,612
4,5,0,0,484
4,5,0,1,623
4,5,1,0,618
4,5,1,1,509
4,6,0,0,680
4,6,0,1,518
4,6,1,0,466
4,6,1,1,682
4,7,0,0,563
4,7,0,1,473
4,7,1,0,724
4,7,1,1,395
4,8,0,0,438
4,8,0,1,523
4,8,1,0,571
4,8,1,1,726
4,9,0,0,531
4,9,0,1,432
4,9,1,0,740
4,9,1,1,648
4,10,0,0,400
4,10,0,1,401
4,10,1,0,554
4,10,1,1,604
4,12,0,0,93
4,12,0,1,100
4,12,1,0,700
4,12,1,1,667
4,13,0,0,50
4,13,0,1,52
4,13,1,0,419
4,13,1,1,418
5,1,0,0,333
5,1,0,1,329
5,1,1,0,401
5,1,1,1,411
5,2,0,0,373
5,2,0,1,438
5,2,1,0,552
5,2,1,1,524
5,3,0,0,438
5,3,0,1,394
5,3,1,0,530
5,3,1,1,560
5,4,0,0,388
5,4,0,1,439
5,4,1,0,598
5,4,1,1,547
5,5,0,0,433
5,5,0,1,381
5,5,1,0,499
5,5,1,1,566
5,6,0,0,390
5,6,0,1,455
5,6,1,0,520
5,6,1,1,472
5,7,0,0,325
5,7,0,1,347
5,7,1,0,680
5,7,1,1,709
5,8,0,0,310
5,8,0,1,359
5,8,1,0,738
5,8,1,1,720
5,9,0,0,314
5,9,0,1,314
5,9,1,0,664
5,9,1,1,735
5,10,0,0,274
5,10,0,1,244
5,10,1,0,667
5,10,1,1,622
5,11,0,0,139
5,11,0,1,189
5,11,1,0,628
5,11,1,1,675
5,12,0,0,157
5,12,0,1,128
5,12,1,0,622
5,12,1,1,631
6,1,0,0,283
6,1,0,1,282
6,1,1,0,308
6,1,1,1,295
6,2,0,0,323
6,2,0,1,322
6,2,1,0,392
6,2,1,1,411
6,3,0,0,306
6,3,0,1,316
6,3,1,0,422
6,3,1,1,423
6,4,0,0,271
6,4,0,1,287
6,4,1,0,410
6,4,1,1,437
6,5,0,0,263
6,5,0,1,223
6,5,1,0,379
6,5,1,1,341
6,6,0,0,233
6,6,0,1,250
6,6,1,0,274
6,6,1,1,308
6,7,0,0,264
6,7,0,1,234
6,7,1,0,650
6,7,1,1,588
6,8,0,0,242
6,8,0,1,239
6,8,1,0,506
6,8,1,1,598
6,9,0,0,193
6,9,0,1,194
6,9,1,0,554
6,9,1,1,492
6,10,0,0,156
6,10,0,1,142
6,10,1,0,500
6,10,1,1,564
6,11,0,0,119
6,11,0,1,112
6,11,1,0,599
6,11,1,1,537
