episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-770.1300000000003,423,0,49,8,1,1,0,1
2,0.9981,-802.0200000000018,423,0,65,3,0,0,0,1
3,0.9962,-911.6799999999994,423,0,71,13,0,1,0,1
4,0.9943,-1018.5500000000029,423,0,84,21,0,1,0,1
5,0.9924,-944.9000000000016,423,0,107,0,0,0,0,1
6,0.9905,-1032.460000000001,423,0,96,17,0,1,0,1
7,0.9886,-845.5900000000019,423,0,62,11,0,1,0,1
8,0.9867,-974.3599999999998,423,0,59,20,5,0,0,1
9,0.9848,-964.3500000000012,423,0,89,13,0,1,0,1
10,0.9829,-1068.6100000000013,423,0,83,26,0,1,0,1
11,0.981,-869.2200000000018,423,0,77,8,0,1,0,1
12,0.9791,-1017.3800000000034,423,0,89,19,0,1,0,1
13,0.9772,-953.939999999999,423,0,63,18,2,0,0,1
14,0.9753000000000001,-990.4800000000014,423,0,71,20,4,1,0,1
15,0.9734,-1020.1400000000024,423,0,95,16,0,1,0,1
16,0.9715,-801.9300000000004,423,0,56,4,0,0,0,1
17,0.9696,-1038.890000000004,423,0,88,20,0,1,0,1
18,0.9677,-857.1199999999995,423,0,72,3,2,0,0,1
19,0.9658,-998.8400000000004,423,0,91,15,2,1,0,1
20,0.9639,-847.5100000000006,423,0,64,7,1,0,0,1
21,0.962,-1020.0700000000041,423,0,65,29,0,1,0,1
22,0.9601,-934.6699999999993,423,0,70,10,5,0,0,1
23,0.9582,-853.1999999999997,423,0,58,9,5,1,0,1
24,0.9563,-1058.370000000002,423,0,105,15,0,1,0,1
25,0.9544,-815.6900000000015,423,0,66,6,0,1,0,1
26,0.9525,-899.060000000002,423,0,76,11,0,1,0,1
27,0.9506,-1023.5600000000028,423,0,99,14,0,1,0,1
28,0.9487,-826.7300000000015,423,0,48,9,3,0,0,1
29,0.9468,-765.6900000000024,423,0,51,6,0,1,0,1
30,0.9449,-856.5200000000012,423,0,51,17,0,1,0,1
31,0.9430000000000001,-864.6400000000021,423,0,45,21,0,1,0,1
32,0.9411,-950.1299999999992,423,0,45,26,3,1,0,1
33,0.9392,-942.0100000000004,423,0,72,17,0,1,0,1
34,0.9373,-962.3700000000002,423,0,50,24,5,1,0,1
35,0.9354,-894.0199999999986,423,0,71,9,0,0,0,1
36,0.9335,-878.3900000000021,423,0,91,0,0,0,0,1
37,0.9316,-1034.7800000000025,423,0,85,23,0,1,0,1
38,0.9297,-924.9700000000028,423,0,93,5,0,1,0,1
39,0.9278,-945.940000000002,423,0,79,15,0,1,0,1
