episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-896.0,423,0,72,18,0,0,0,1
2,0.9981,-736.0,423,0,71,1,0,0,0,1
3,0.9962,-842.0,423,0,83,9,1,1,0,1
4,0.9943,-782.0,423,0,60,13,0,1,0,1
5,0.9924,-784.0,423,0,65,8,0,0,0,1
6,0.9905,-833.0,423,0,53,19,1,0,0,1
7,0.9886,-902.0,423,0,93,10,0,1,0,1
8,0.9867,-984.0,423,0,83,24,2,1,0,1
9,0.9848,-833.0,423,0,84,6,0,0,0,1
10,0.9829,-890.0,423,0,78,14,0,0,0,1
11,0.981,-794.0,423,0,81,3,0,0,0,1
12,0.9791,-959.0,423,0,72,27,0,1,0,1
13,0.9772,-1089.0,423,0,133,15,0,1,0,1
14,0.9753000000000001,-935.0,423,0,83,17,4,1,0,1
15,0.9734,-341.0,290,1,32,5,0,1,1,0
16,0.9715,-895.0,423,0,83,15,0,1,0,1
17,0.9696,-863.0,423,0,69,18,0,1,0,1
18,0.9677,-947.0,423,0,89,15,4,1,0,1
19,0.9658,-835.0,423,0,79,9,1,1,0,1
20,0.9639,-912.0,423,0,49,28,6,1,0,1
21,0.962,-922.0,423,0,93,12,2,1,0,1
22,0.9601,-993.0,423,0,73,30,0,1,0,1
23,0.9582,-868.0,423,0,98,6,0,1,0,1
24,0.9563,-858.0,423,0,71,14,2,1,0,1
25,0.9544,-866.0,423,0,64,19,2,1,0,1
26,0.9525,-907.0,423,0,76,14,4,0,0,1
27,0.9506,-806.0,423,0,72,7,0,0,0,1
28,0.9487,-692.0,423,0,48,6,0,0,0,1
29,0.9468,-897.0,423,0,68,20,2,1,0,1
30,0.9449,-924.0,423,0,72,23,1,1,0,1
31,0.9430000000000001,-827.0,423,0,69,14,0,1,0,1
32,0.9411,-969.0,423,0,75,26,1,1,0,1
33,0.9392,-1297.0,423,0,93,51,5,1,0,1
34,0.9373,-828.0,423,0,67,14,0,1,0,1
35,0.9354,-411.0,290,1,54,3,0,1,1,0
36,0.9335,-1043.0,423,0,108,21,0,1,0,1
37,0.9316,-866.0,423,0,72,16,0,1,0,1
38,0.9297,-834.0,423,0,61,18,0,1,0,1
39,0.9278,-758.0,423,0,54,13,0,1,0,1
40,0.9259,-943.0,423,0,75,23,2,1,0,1
41,0.924,-795.0,423,0,61,13,0,1,0,1
42,0.9221,-800.0,423,0,60,15,0,1,0,1
43,0.9202,-830.0,423,0,75,11,0,1,0,1
44,0.9183,-790.0,423,0,68,10,0,1,0,1
45,0.9164,-928.0,423,0,98,10,3,1,0,1
46,0.9145,-838.0,423,0,61,13,4,0,0,1
47,0.9126,-805.0,423,0,71,8,0,0,0,1
48,0.9107000000000001,-684.0,368,1,93,7,0,1,1,0
49,0.9088,-952.0,423,0,80,21,0,0,0,1
50,0.9069,-862.0,423,0,82,11,1,1,0,1
51,0.905,-851.0,423,0,57,20,0,1,0,1
52,0.9031,-769.0,423,0,71,4,0,0,0,1
53,0.9012,-733.0,423,0,68,2,0,0,0,1
54,0.8993,-895.0,423,0,59,25,0,1,0,1
55,0.8974,-889.0,423,0,83,15,0,1,0,1
