episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.3,1.0,-770.1300000000003,423,0,49,8,1,1,0,1
2,0.3,0.9981,-802.0200000000018,423,0,65,3,0,0,0,1
3,0.3,0.9962,-911.6799999999994,423,0,71,13,0,1,0,1
4,0.3,0.9943,-1018.5500000000029,423,0,84,21,0,1,0,1
5,0.3,0.9924,-937.2600000000014,423,0,105,0,0,0,0,1
6,0.3,0.9905,-1032.460000000001,423,0,96,17,0,1,0,1
7,0.3,0.9886,-818.7199999999999,423,0,58,10,0,1,0,1
8,0.3,0.9867,-974.3599999999998,423,0,59,20,5,0,0,1
9,0.3,0.9848,-962.7800000000015,423,0,88,13,0,1,0,1
10,0.3,0.9829,-1060.530000000001,423,0,81,26,0,1,0,1
11,0.3,0.981,-844.650000000002,423,0,71,8,0,1,0,1
12,0.3,0.9791,-1027.9900000000034,423,0,85,22,0,1,0,1
13,0.3,0.9772,-953.939999999999,423,0,63,18,2,0,0,1
14,0.3,0.9753000000000001,-1074.2700000000011,423,0,95,19,3,1,0,1
15,0.3,0.9734,-1032.3000000000022,423,0,94,17,1,1,0,1
16,0.3,0.9715,-809.71,423,0,58,4,0,0,0,1
17,0.3,0.9696,-974.3700000000038,423,0,74,20,0,1,0,1
18,0.3,0.9677,-887.6300000000009,423,0,83,7,0,1,0,1
19,0.3,0.9658,-988.8400000000005,423,0,88,15,2,1,0,1
20,0.3,0.9639,-827.0400000000002,423,0,62,6,0,0,0,1
21,0.3,0.962,-1002.540000000004,423,0,67,27,0,1,0,1
22,0.3,0.9601,-929.4399999999971,423,0,67,12,2,0,0,1
23,0.3,0.9582,-850.39,423,0,62,7,5,1,0,1
24,0.3,0.9563,-1026.0500000000022,423,0,97,15,0,1,0,1
25,0.3,0.9544,-881.9300000000011,423,0,80,7,0,1,0,1
26,0.3,0.9525,-839.1899999999991,423,0,75,4,0,1,0,1
27,0.3,0.9506,-1095.3400000000026,423,0,97,23,0,1,0,1
28,0.3,0.9487,-817.2100000000014,423,0,61,4,2,0,0,1
29,0.3,0.9468,-870.2700000000016,423,0,62,14,0,1,0,1
30,0.3,0.9449,-1007.9300000000035,423,0,72,24,0,1,0,1
31,0.3,0.9430000000000001,-791.7300000000014,423,0,56,7,0,1,0,1
32,0.3,0.9411,-851.3099999999982,423,0,43,18,2,1,0,1
33,0.3,0.9392,-794.8399999999984,423,0,59,8,0,1,0,1
34,0.3,0.9373,-876.9800000000021,423,0,81,3,1,0,0,1
35,0.3,0.9354,-860.5099999999984,423,0,85,5,0,1,0,1
36,0.3,0.9335,-1009.8199999999999,423,0,98,9,2,0,0,1
37,0.3,0.9316,-844.0099999999984,423,0,79,4,0,1,0,1
38,0.3,0.9297,-1146.0200000000023,423,0,103,24,3,1,0,1
39,0.3,0.9278,-863.3900000000002,423,0,69,12,0,1,0,1
40,0.3,0.9259,-1002.6500000000008,423,0,78,22,0,1,0,1
41,0.3,0.924,-767.5399999999996,423,0,55,8,0,1,0,1
42,0.3,0.9221,-994.9000000000024,423,0,81,19,0,1,0,1
43,0.3,0.9202,-946.3099999999988,423,0,54,26,0,1,0,1
44,0.3,0.9183,-857.86,423,0,38,23,0,1,0,1
45,0.3,0.9164,-952.4100000000024,423,0,65,22,0,1,0,1
46,0.3,0.9145,-835.2099999999969,423,0,46,11,3,0,0,1
47,0.3,0.9126,-838.8300000000011,423,0,62,10,0,1,0,1
48,0.3,0.9107000000000001,-953.5900000000009,423,0,90,10,0,1,0,1
49,0.3,0.9088,-954.650000000004,423,0,67,20,0,1,0,1
50,0.3,0.9069,-311.03999999999985,229,1,37,2,0,1,1,0
51,0.3,0.905,-857.2100000000016,423,0,53,15,1,1,0,1
52,0.3,0.9031,-901.9000000000008,423,0,72,9,2,1,0,1
53,0.3,0.9012,-807.9100000000019,423,0,71,3,0,1,0,1
54,0.3,0.8993,-500.1100000000003,263,1,54,9,0,1,1,0
55,0.3,0.8974,-974.4900000000005,423,0,44,27,5,1,0,1
56,0.3,0.8955,-888.4800000000015,423,0,70,13,0,1,0,1
57,0.3,0.8936,-923.550000000004,423,0,61,20,0,1,0,1
58,0.3,0.8917,-880.2300000000008,423,0,66,14,0,1,0,1
59,0.3,0.8898,-1053.8000000000018,423,0,80,25,0,1,0,1
60,0.3,0.8879,-778.9499999999979,423,0,42,13,0,1,0,1
61,0.3,0.886,-963.7600000000012,423,0,63,23,0,1,0,1
62,0.3,0.8841,-843.600000000002,423,0,70,4,4,1,0,1
63,0.3,0.8822,-931.2500000000013,423,0,69,17,0,1,0,1
64,0.3,0.8803,-899.3700000000013,423,0,65,16,0,1,0,1
65,0.3,0.8784,-773.0400000000016,423,0,61,1,0,0,0,1
66,0.3,0.8765000000000001,-773.5400000000022,423,0,53,6,0,1,0,1
67,0.3,0.8746,-769.4200000000017,423,0,52,2,1,0,0,1
68,0.3,0.8727,-930.0100000000003,423,0,80,7,2,0,0,1
69,0.3,0.8708,-753.5999999999991,423,0,60,3,0,1,0,1
70,0.3,0.8689,-820.050000000001,423,0,50,12,1,1,0,1
71,0.3,0.867,-919.7200000000005,423,0,51,21,2,1,0,1
72,0.3,0.8651,-824.180000000002,423,0,65,7,0,1,0,1
73,0.3,0.8632,-457.40999999999946,316,1,39,5,0,1,1,0
74,0.3,0.8613,-883.1800000000002,423,0,64,12,2,1,0,1
75,0.3,0.8594,-973.0300000000019,423,0,71,21,0,1,0,1
76,0.3,0.8575,-755.0600000000003,423,0,51,6,0,1,0,1
77,0.3,0.8556,-1005.9500000000024,423,0,72,24,0,1,0,1
78,0.3,0.8537,-813.8299999999977,423,0,58,11,0,1,0,1
79,0.3,0.8518,-909.9100000000028,423,0,67,15,0,1,0,1
80,0.3,0.8499,-748.2999999999981,423,0,45,8,0,1,0,1
81,0.3,0.848,-794.3100000000004,423,0,30,14,1,0,0,1
82,0.3,0.8461,-736.9799999999971,423,0,40,9,1,1,0,1
83,0.3,0.8442000000000001,-783.7199999999993,423,0,67,4,0,1,0,1
84,0.3,0.8423,-464.7700000000005,341,1,34,5,0,1,1,0
85,0.3,0.8404,-801.7500000000009,423,0,71,2,0,1,0,1
86,0.3,0.8385,-734.8700000000019,423,0,45,6,0,1,0,1
87,0.3,0.8366,-736.0199999999968,423,0,51,5,1,1,0,1
88,0.3,0.8347,-941.2200000000021,423,0,62,21,1,1,0,1
89,0.3,0.8328,-804.3700000000017,423,0,53,11,0,1,0,1
90,0.3,0.8309,-758.7100000000028,423,0,34,14,0,1,0,1
91,0.3,0.829,-949.5400000000036,423,0,75,16,0,1,0,1
92,0.3,0.8271,-828.7600000000022,423,0,76,3,0,1,0,1
93,0.3,0.8252,-760.8099999999993,423,0,52,6,1,1,0,1
94,0.3,0.8233,-849.299999999999,423,0,60,12,0,1,0,1
95,0.3,0.8214,-802.7800000000028,423,0,52,11,0,1,0,1
96,0.3,0.8195,-433.52000000000004,329,1,44,0,0,1,1,0
97,0.3,0.8176,-785.9299999999981,423,0,50,6,3,1,0,1
98,0.3,0.8157,-546.2199999999989,334,1,48,7,0,1,1,0
99,0.3,0.8138,-780.4500000000003,423,0,58,7,0,1,0,1
100,0.3,0.8119000000000001,-817.6700000000016,423,0,52,11,1,1,0,1
101,0.3,0.81,-756.8700000000019,423,0,57,2,2,1,0,1
102,0.3,0.8081,-718.839999999998,423,0,53,2,0,1,0,1
103,0.3,0.8062,-844.8800000000018,423,0,53,14,2,1,0,1
104,0.3,0.8043,-713.1999999999979,423,0,27,14,0,1,0,1
105,0.3,0.8024,-458.6299999999998,253,1,33,17,0,1,1,0
106,0.3,0.8005,-748.780000000002,423,0,44,10,0,1,0,1
107,0.3,0.7986,-770.1199999999978,423,0,51,8,1,1,0,1
108,0.3,0.7967,-948.0200000000028,423,0,72,18,0,1,0,1
109,0.3,0.7948,-693.7500000000009,423,0,29,8,0,1,0,1
110,0.3,0.7929,-808.0900000000012,423,0,61,9,0,1,0,1
111,0.3,0.791,-723.7599999999982,423,0,37,10,0,1,0,1
112,0.3,0.7891,-735.6299999999995,423,0,40,7,1,1,0,1
113,0.3,0.7872,-770.3299999999977,423,0,53,9,0,1,0,1
114,0.3,0.7853,-852.0599999999974,423,0,61,13,1,1,0,1
115,0.3,0.7834,-824.3500000000025,423,0,46,16,0,1,0,1
116,0.3,0.7815,-370.38999999999976,289,1,26,6,0,1,1,0
117,0.3,0.7796,-680.6499999999992,423,0,27,8,1,1,0,1
118,0.3,0.7777000000000001,-320.4899999999999,226,1,37,3,0,1,1,0
119,0.3,0.7758,-745.9099999999983,405,1,69,11,2,1,1,0
120,0.3,0.7739,-574.9800000000007,366,1,49,7,0,1,1,0
121,0.3,0.772,-711.7999999999973,423,0,53,3,0,1,0,1
122,0.3,0.7701,-868.3500000000039,423,0,44,22,0,1,0,1
123,0.3,0.7682,-248.43,227,1,19,3,0,1,1,0
124,0.3,0.7663,-264.3599999999999,227,1,25,2,0,1,1,0
125,0.3,0.7644,-731.1300000000008,423,0,47,5,0,1,0,1
126,0.3,0.7625,-870.1399999999998,423,0,56,13,0,0,0,1
127,0.3,0.7605999999999999,-753.3299999999999,423,0,40,9,2,1,0,1
128,0.3,0.7587,-722.8399999999978,423,0,35,9,0,1,0,1
129,0.3,0.7568,-672.1099999999997,423,0,38,4,0,1,0,1
130,0.3,0.7549,-721.8299999999984,423,0,48,6,0,1,0,1
