episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.3,1.0,-697.0,423,0,49,8,1,1,0,1
2,0.3,0.9981,-730.0,423,0,65,3,0,0,0,1
3,0.3,0.9962,-832.0,423,0,71,13,0,1,0,1
4,0.3,0.9943,-947.0,423,0,84,21,0,1,0,1
5,0.3,0.9924,-871.0,423,0,107,0,0,0,0,1
6,0.3,0.9905,-968.0,423,0,96,17,0,1,0,1
7,0.3,0.9886,-750.0,423,0,58,10,0,1,0,1
8,0.3,0.9867,-894.0,423,0,59,20,5,0,0,1
9,0.3,0.9848,-879.0,423,0,82,13,0,1,0,1
10,0.3,0.9829,-986.0,423,0,81,26,0,1,0,1
11,0.3,0.981,-674.0,423,0,48,6,0,1,0,1
12,0.3,0.9791,-963.0,423,0,85,22,0,1,0,1
13,0.3,0.9772,-874.0,423,0,63,18,2,0,0,1
14,0.3,0.9753000000000001,-943.0,423,0,81,18,5,1,0,1
15,0.3,0.9734,-961.0,423,0,94,17,1,1,0,1
16,0.3,0.9715,-713.0,423,0,54,4,0,0,0,1
17,0.3,0.9696,-960.0,423,0,88,20,0,1,0,1
18,0.3,0.9677,-828.0,423,0,85,7,0,1,0,1
19,0.3,0.9658,-946.0,423,0,90,15,2,1,0,1
20,0.3,0.9639,-773.0,423,0,62,8,1,0,0,1
21,0.3,0.962,-945.0,423,0,67,28,0,1,0,1
22,0.3,0.9601,-869.0,423,0,68,15,1,0,0,1
23,0.3,0.9582,-760.0,423,0,60,7,5,1,0,1
24,0.3,0.9563,-947.0,423,0,96,15,0,1,0,1
25,0.3,0.9544,-808.0,423,0,80,7,0,1,0,1
26,0.3,0.9525,-804.0,423,0,85,2,0,0,0,1
27,0.3,0.9506,-1034.0,423,0,96,25,0,1,0,1
28,0.3,0.9487,-721.0,423,0,57,4,2,0,0,1
29,0.3,0.9468,-748.0,423,0,44,15,0,1,0,1
30,0.3,0.9449,-777.0,423,0,58,8,3,0,0,1
31,0.3,0.9430000000000001,-699.0,423,0,52,7,0,1,0,1
32,0.3,0.9411,-839.0,423,0,52,21,2,1,0,1
33,0.3,0.9392,-794.0,423,0,60,13,0,1,0,1
34,0.3,0.9373,-812.0,423,0,83,3,1,0,0,1
35,0.3,0.9354,-810.0,423,0,76,6,0,0,0,1
36,0.3,0.9335,-959.0,423,0,95,16,1,1,0,1
37,0.3,0.9316,-734.0,423,0,66,5,0,1,0,1
38,0.3,0.9297,-973.0,423,0,91,20,1,1,0,1
39,0.3,0.9278,-900.0,423,0,76,19,0,1,0,1
40,0.3,0.9259,-865.0,423,0,66,18,2,1,0,1
41,0.3,0.924,-874.0,423,0,65,21,0,1,0,1
42,0.3,0.9221,-873.0,423,0,79,15,0,1,0,1
43,0.3,0.9202,-731.0,423,0,57,6,0,0,0,1
44,0.3,0.9183,-720.0,423,0,51,9,1,1,0,1
45,0.3,0.9164,-727.0,423,0,71,2,0,1,0,1
46,0.3,0.9145,-778.0,423,0,44,17,3,1,0,1
47,0.3,0.9126,-718.0,423,0,65,4,0,1,0,1
48,0.3,0.9107000000000001,-837.0,423,0,94,4,0,1,0,1
49,0.3,0.9088,-705.0,423,0,54,6,1,1,0,1
50,0.3,0.9069,-795.0,423,0,58,15,0,1,0,1
51,0.3,0.905,-782.0,423,0,59,12,1,1,0,1
52,0.3,0.9031,-725.0,423,0,57,3,3,0,0,1
53,0.3,0.9012,-621.0,423,0,43,3,0,1,0,1
54,0.3,0.8993,-667.0,423,0,59,1,0,1,0,1
55,0.3,0.8974,-794.0,423,0,63,13,0,1,0,1
56,0.3,0.8955,-736.0,423,0,41,16,0,1,0,1
57,0.3,0.8936,-772.0,423,0,74,6,0,1,0,1
