episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.9,1.0,-964.0000000000003,423,0,84,15,0,1,0,1
2,0.9,0.9981,-1018.6699999999981,423,0,71,18,6,0,0,1
3,0.9,0.9962,-983.3799999999983,423,0,60,18,9,1,0,1
4,0.9,0.9943,-950.5700000000023,423,0,59,20,4,1,0,1
5,0.9,0.9924,-916.5999999999983,423,0,83,8,0,1,0,1
6,0.9,0.9905,-934.5500000000022,423,0,80,13,0,1,0,1
7,0.9,0.9886,-943.9800000000005,423,0,90,7,0,0,0,1
8,0.9,0.9867,-928.2700000000003,423,0,65,17,3,1,0,1
9,0.9,0.9848,-996.6300000000025,423,0,77,21,1,1,0,1
10,0.9,0.9829,-904.5700000000002,423,0,82,8,0,1,0,1
11,0.9,0.981,-1027.2700000000027,423,0,86,20,1,1,0,1
12,0.9,0.9791,-885.540000000002,423,0,89,1,1,0,0,1
13,0.9,0.9772,-1084.7100000000032,423,0,118,12,0,1,0,1
14,0.9,0.9753000000000001,-850.6700000000002,423,0,65,10,0,1,0,1
15,0.9,0.9734,-962.9800000000006,423,0,84,12,0,0,0,1
16,0.9,0.9715,-1024.4100000000012,423,0,79,19,0,0,0,1
17,0.9,0.9696,-1198.7200000000028,423,0,102,32,0,1,0,1
18,0.9,0.9677,-873.4800000000023,423,0,80,1,4,0,0,1
19,0.9,0.9658,-1092.0200000000023,423,0,78,32,0,1,0,1
20,0.9,0.9639,-942.2300000000021,423,0,68,18,1,1,0,1
21,0.9,0.962,-913.1899999999982,423,0,57,21,0,1,0,1
22,0.9,0.9601,-1113.8199999999993,423,0,101,20,2,1,0,1
23,0.9,0.9582,-856.6000000000017,423,0,76,6,0,1,0,1
24,0.9,0.9563,-1044.7500000000005,423,0,78,25,0,1,0,1
25,0.9,0.9544,-945.3500000000003,423,0,72,14,2,0,0,1
26,0.9,0.9525,-866.7199999999982,423,0,59,10,2,0,0,1
27,0.9,0.9506,-874.400000000001,423,0,70,7,1,0,0,1
28,0.9,0.9487,-825.8800000000014,423,0,58,10,0,1,0,1
29,0.9,0.9468,-1018.0000000000032,423,0,108,9,0,1,0,1
30,0.9,0.9449,-870.9800000000016,423,0,50,13,3,0,0,1
31,0.9,0.9430000000000001,-900.650000000002,423,0,66,14,1,1,0,1
32,0.9,0.9411,-1020.6700000000021,423,0,74,24,0,1,0,1
33,0.9,0.9392,-937.7100000000014,423,0,100,2,0,0,0,1
34,0.9,0.9373,-938.149999999998,423,0,59,14,4,0,0,1
35,0.9,0.9354,-863.2400000000016,423,0,82,2,0,0,0,1
36,0.9,0.9335,-931.1600000000018,423,0,73,14,0,1,0,1
37,0.9,0.9316,-804.9599999999987,423,0,47,8,3,0,0,1
38,0.9,0.9297,-832.2300000000001,423,0,57,8,2,0,0,1
39,0.9,0.9278,-905.6500000000004,423,0,78,9,0,1,0,1
40,0.9,0.9259,-964.0299999999987,423,0,80,18,0,1,0,1
41,0.9,0.924,-766.3600000000018,423,0,63,0,0,0,0,1
42,0.9,0.9221,-954.9800000000013,423,0,78,16,0,1,0,1
43,0.9,0.9202,-957.8400000000007,423,0,77,16,0,1,0,1
44,0.9,0.9183,-985.6400000000007,423,0,75,22,0,1,0,1
45,0.9,0.9164,-906.8700000000009,423,0,72,13,0,1,0,1
46,0.9,0.9145,-954.4200000000017,423,0,110,0,0,0,0,1
47,0.9,0.9126,-813.8300000000016,423,0,61,5,0,0,0,1
48,0.9,0.9107000000000001,-815.479999999998,423,0,72,4,0,1,0,1
49,0.9,0.9088,-921.2999999999997,423,0,82,10,0,1,0,1
50,0.9,0.9069,-1081.8399999999992,423,0,94,15,6,0,0,1
51,0.9,0.905,-857.3199999999975,423,0,54,11,1,0,0,1
52,0.9,0.9031,-811.5999999999984,423,0,58,9,1,1,0,1
53,0.9,0.9012,-940.2699999999993,423,0,56,17,5,0,0,1
54,0.9,0.8993,-940.3000000000006,423,0,63,18,2,1,0,1
55,0.9,0.8974,-848.8100000000011,423,0,63,11,0,1,0,1
56,0.9,0.8955,-859.8399999999999,423,0,61,9,1,0,0,1
57,0.9,0.8936,-946.8600000000007,423,0,70,19,0,1,0,1
58,0.9,0.8917,-834.8599999999985,423,0,61,12,0,1,0,1
59,0.9,0.8898,-851.8899999999976,423,0,65,11,0,1,0,1
60,0.9,0.8879,-777.3599999999986,423,0,38,9,1,0,0,1
61,0.9,0.886,-999.3400000000026,423,0,64,25,1,1,0,1
62,0.9,0.8841,-1034.460000000003,423,0,82,22,1,1,0,1
63,0.9,0.8822,-851.0400000000013,423,0,66,9,1,1,0,1
64,0.9,0.8803,-795.0700000000005,423,0,60,2,3,0,0,1
65,0.9,0.8784,-785.8,423,0,57,7,0,1,0,1
66,0.9,0.8765000000000001,-835.2600000000004,423,0,53,15,0,1,0,1
67,0.9,0.8746,-755.1700000000006,423,0,42,7,2,1,0,1
68,0.9,0.8727,-783.2200000000022,423,0,67,0,0,0,0,1
69,0.9,0.8708,-924.9000000000005,423,0,93,6,0,1,0,1
70,0.9,0.8689,-808.4200000000002,423,0,63,6,0,1,0,1
71,0.9,0.867,-765.9400000000014,423,0,50,7,0,1,0,1
72,0.9,0.8651,-855.1400000000008,423,0,74,7,0,1,0,1
73,0.9,0.8632,-906.2200000000006,423,0,75,12,0,1,0,1
74,0.9,0.8613,-740.9499999999995,415,1,75,8,0,1,1,0
75,0.9,0.8594,-774.6099999999992,423,0,46,10,0,1,0,1
76,0.9,0.8575,-846.450000000002,423,0,44,18,0,1,0,1
77,0.9,0.8556,-878.7000000000018,423,0,66,13,0,1,0,1
78,0.9,0.8537,-837.3700000000032,423,0,63,9,1,1,0,1
79,0.9,0.8518,-819.7099999999987,423,0,64,5,4,1,0,1
80,0.9,0.8499,-775.4099999999992,423,0,44,8,1,0,0,1
81,0.9,0.848,-717.3699999999998,423,0,53,2,0,1,0,1
82,0.9,0.8461,-891.4000000000017,423,0,77,8,0,1,0,1
83,0.9,0.8442000000000001,-796.6999999999992,423,0,62,5,2,1,0,1
84,0.9,0.8423,-871.8000000000015,423,0,50,20,0,1,0,1
85,0.9,0.8404,-829.8399999999991,423,0,69,7,0,1,0,1
86,0.9,0.8385,-805.5500000000035,423,0,61,7,0,1,0,1
87,0.9,0.8366,-405.4499999999997,221,1,51,7,0,1,1,0
88,0.9,0.8347,-752.9499999999998,423,0,49,7,1,1,0,1
89,0.9,0.8328,-776.9600000000002,423,0,51,8,0,1,0,1
90,0.9,0.8309,-820.5999999999984,423,0,60,11,0,1,0,1
91,0.9,0.829,-877.9300000000011,423,0,72,10,0,1,0,1
92,0.9,0.8271,-906.7999999999982,423,0,73,14,0,1,0,1
93,0.9,0.8252,-828.4800000000013,423,0,51,11,3,1,0,1
94,0.9,0.8233,-812.7199999999981,423,0,59,11,0,1,0,1
95,0.9,0.8214,-711.0000000000019,423,0,38,2,3,0,0,1
96,0.9,0.8195,-1013.0400000000004,423,0,87,18,0,1,0,1
97,0.9,0.8176,-696.5800000000014,423,0,45,0,0,0,0,1
98,0.9,0.8157,-827.0900000000005,423,0,50,14,0,1,0,1
99,0.9,0.8138,-778.2799999999996,423,0,65,2,0,1,0,1
100,0.9,0.8119000000000001,-801.6499999999994,423,0,58,5,0,0,0,1
101,0.9,0.81,-714.5499999999996,423,0,35,7,1,1,0,1
102,0.9,0.8081,-751.6499999999993,423,0,59,4,0,1,0,1
103,0.9,0.8062,-734.32,423,0,37,3,3,0,0,1
104,0.9,0.8043,-832.920000000001,423,0,57,11,0,1,0,1
105,0.9,0.8024,-446.80000000000035,276,1,56,2,0,1,1,0
106,0.9,0.8005,-684.7299999999996,423,0,41,2,0,1,0,1
107,0.9,0.7986,-756.1300000000026,423,0,38,13,0,1,0,1
108,0.9,0.7967,-816.5400000000004,423,0,70,4,0,1,0,1
109,0.9,0.7948,-698.6399999999993,423,0,47,3,0,1,0,1
110,0.9,0.7929,-786.5699999999995,423,0,57,8,0,1,0,1
111,0.9,0.791,-865.4200000000028,423,0,49,19,0,1,0,1
112,0.9,0.7891,-785.3800000000012,423,0,60,5,0,1,0,1
113,0.9,0.7872,-886.5100000000028,423,0,68,13,0,1,0,1
114,0.9,0.7853,-729.3199999999986,423,0,48,6,0,1,0,1
115,0.9,0.7834,-837.0899999999989,423,0,70,8,0,1,0,1
116,0.9,0.7815,-847.3300000000013,423,0,60,12,0,1,0,1
117,0.9,0.7796,-742.1099999999997,423,0,47,6,0,1,0,1
118,0.9,0.7777000000000001,-734.5600000000014,423,0,35,7,0,0,0,1
119,0.9,0.7758,-782.6100000000001,423,0,55,7,0,1,0,1
