episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-887.1100000000022,423,0,90,3,0,1,0,1
4,0.9905,-759.3399999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1212.2300000000023,423,0,86,37,1,0,0,1
6,0.9841666666666666,-1135.2800000000038,423,0,117,16,1,0,0,1
7,0.981,-884.4100000000018,423,0,82,5,0,0,0,1
8,0.9778333333333333,-1083.960000000002,423,0,130,7,0,1,0,1
9,0.9746666666666667,-1308.0300000000025,423,0,82,47,7,0,0,1
10,0.9715,-892.2400000000027,423,0,78,3,4,0,0,1
11,0.9683333333333334,-395.59000000000043,286,1,42,1,0,1,1,0
12,0.9651666666666666,-934.8299999999999,423,0,85,0,10,0,0,1
13,0.962,-1154.7600000000039,423,0,91,29,2,0,0,1
14,0.9588333333333333,-1000.4900000000024,423,0,81,20,0,1,0,1
15,0.9556666666666667,-804.8000000000002,423,0,76,0,0,1,0,1
16,0.9525,-995.830000000002,423,0,97,9,0,0,0,1
17,0.9493333333333334,-938.4100000000038,423,0,94,6,0,0,0,1
18,0.9461666666666667,-1040.2000000000023,423,0,84,21,0,0,0,1
19,0.9430000000000001,-937.7999999999994,423,0,97,1,3,0,0,1
20,0.9398333333333333,-906.1000000000006,423,0,84,6,0,0,0,1
21,0.9366666666666666,-1280.050000000002,423,0,128,29,0,0,0,1
22,0.9335,-804.8000000000013,423,0,71,1,2,1,0,1
23,0.9303333333333333,-780.6,423,0,71,0,0,1,0,1
24,0.9271666666666667,-1244.4099999999974,423,0,107,35,0,0,0,1
25,0.924,-1276.2199999999993,423,0,90,45,0,0,0,1
26,0.9208333333333334,-394.4100000000001,215,1,63,1,0,1,1,0
27,0.9176666666666666,-646.02,385,1,77,0,0,1,1,0
28,0.9145,-808.0300000000018,423,0,67,5,0,1,0,1
29,0.9113333333333333,-874.0800000000004,423,0,85,1,0,0,0,1
30,0.9081666666666667,-650.9000000000004,361,1,78,2,1,1,1,0
31,0.905,-990.6900000000047,423,0,70,22,1,0,0,1
32,0.9018333333333334,-915.6100000000018,423,0,84,9,0,1,0,1
33,0.8986666666666667,-304.91999999999985,247,1,33,0,0,1,1,0
34,0.8955,-713.8499999999998,421,1,76,4,0,1,1,0
35,0.8923333333333333,-1129.8399999999986,423,0,132,14,0,1,0,1
36,0.8891666666666667,-387.97,250,1,51,0,1,1,1,0
37,0.886,-834.420000000001,423,0,72,3,0,0,0,1
38,0.8828333333333334,-1022.8500000000038,423,0,91,15,1,0,0,1
39,0.8796666666666667,-410.63999999999993,254,1,49,3,1,1,1,0
40,0.8765000000000001,-1154.4099999999994,423,0,79,38,0,0,0,1
41,0.8733333333333333,-136.89000000000004,135,1,24,0,0,1,1,0
42,0.8701666666666666,-606.6600000000003,381,1,63,3,0,1,1,0
43,0.867,-994.9200000000009,423,0,77,20,0,0,0,1
44,0.8638333333333333,-887.8600000000016,423,0,77,9,0,1,0,1
45,0.8606666666666667,-702.5500000000001,401,1,74,5,1,1,1,0
46,0.8575,-220.24999999999994,142,1,32,5,0,1,1,0
47,0.8543333333333334,-176.63999999999987,144,1,32,0,0,1,1,0
48,0.8511666666666666,-384.7600000000001,230,1,44,7,0,1,1,0
49,0.848,-929.2700000000018,423,0,70,14,1,0,0,1
50,0.8448333333333333,-556.92,355,1,59,0,2,1,1,0
51,0.8416666666666667,-422.54000000000025,301,1,47,0,0,1,1,0
52,0.8385,-998.6100000000023,423,0,83,17,0,0,0,1
53,0.8353333333333334,-982.3000000000009,423,0,105,5,0,0,0,1
54,0.8321666666666667,-842.6899999999998,423,0,60,14,0,1,0,1
55,0.829,-944.7500000000011,423,0,62,23,0,1,0,1
56,0.8258333333333334,-687.3900000000007,314,1,53,22,4,1,1,0
57,0.8226666666666667,-813.1000000000003,382,1,77,20,0,1,1,0
58,0.8195,-662.6999999999998,313,1,80,9,1,1,1,0
59,0.8163333333333334,-406.69999999999953,310,1,36,0,2,1,1,0
60,0.8131666666666667,-441.5600000000007,299,1,53,0,0,1,1,0
61,0.81,-1064.7899999999984,423,0,96,20,1,1,0,1
62,0.8068333333333333,-102.64999999999999,147,1,13,0,0,1,1,0
63,0.8036666666666666,-938.1100000000001,423,0,105,1,0,1,0,1
64,0.8005,-365.05999999999995,217,1,57,0,0,1,1,0
65,0.7973333333333333,-332.3100000000001,212,1,48,1,0,1,1,0
66,0.7941666666666667,-135.69,124,1,28,0,0,1,1,0
67,0.791,-1218.39,423,0,88,38,1,0,0,1
68,0.7878333333333334,-995.5300000000032,423,0,76,20,0,0,0,1
69,0.7846666666666666,-176.81999999999988,171,1,20,1,1,1,1,0
70,0.7815,-140.8,140,1,24,0,0,1,1,0
71,0.7783333333333333,-370.5399999999996,229,1,49,3,0,1,1,0
72,0.7751666666666667,-144.5899999999998,135,1,27,0,0,1,1,0
73,0.772,-360.76000000000005,252,1,46,0,0,1,1,0
74,0.7688333333333334,-286.22999999999973,218,1,34,2,0,1,1,0
75,0.7656666666666667,-346.88,248,1,44,0,0,1,1,0
76,0.7625,-595.9700000000013,403,1,59,1,0,1,1,0
77,0.7593333333333333,-287.46,225,1,35,0,0,1,1,0
78,0.7561666666666667,-441.68999999999966,291,1,54,0,0,1,1,0
79,0.753,-656.7999999999997,418,1,68,1,0,1,1,0
80,0.7498333333333334,-372.46999999999986,228,1,56,0,0,1,1,0
81,0.7466666666666667,-81.17000000000003,123,1,15,0,0,1,1,0
82,0.7435,-191.1699999999998,150,1,32,1,0,1,1,0
83,0.7403333333333333,-189.87,172,1,28,0,0,1,1,0
84,0.7371666666666667,-485.1000000000002,295,1,57,3,0,1,1,0
85,0.734,-861.0500000000003,423,0,74,8,0,1,0,1
86,0.7308333333333333,-638.9700000000005,394,1,60,7,0,1,1,0
87,0.7276666666666667,-475.5699999999991,310,1,50,3,0,1,1,0
88,0.7245,-64.79,107,1,15,0,0,1,1,0
89,0.7213333333333334,-170.71000000000004,150,1,27,1,0,1,1,0
90,0.7181666666666666,-180.50999999999982,124,1,36,1,0,1,1,0
91,0.7150000000000001,-334.46,193,1,43,6,0,1,1,0
92,0.7118333333333333,-154.29999999999995,160,1,22,0,0,1,1,0
93,0.7086666666666668,-255.69999999999987,196,1,30,3,0,1,1,0
94,0.7055,-142.36999999999995,128,1,24,2,0,1,1,0
95,0.7023333333333333,-69.16000000000004,96,1,20,0,0,1,1,0
96,0.6991666666666667,-98.53000000000007,131,1,14,0,1,1,1,0
97,0.696,-107.81999999999995,142,1,16,0,0,1,1,0
98,0.6928333333333334,-181.44999999999987,162,1,24,0,2,1,1,0
99,0.6896666666666667,-181.43999999999977,182,1,22,0,0,1,1,0
100,0.6865,-99.73000000000009,121,1,19,0,0,1,1,0
101,0.6833333333333333,-364.57000000000073,283,1,39,0,0,1,1,0
102,0.6801666666666667,-124.67000000000003,142,1,20,0,0,1,1,0
103,0.677,-84.69000000000007,112,1,12,0,4,1,1,0
104,0.6738333333333333,-126.76999999999994,139,1,21,0,0,1,1,0
105,0.6706666666666667,-42.74000000000005,100,1,12,0,0,1,1,0
106,0.6675,-169.77999999999986,130,1,34,0,0,1,1,0
107,0.6643333333333333,4.8500000000000085,71,1,9,0,0,1,1,0
108,0.6611666666666667,-226.8099999999996,196,1,30,0,0,1,1,0
109,0.658,3.6899999999999835,68,1,10,0,0,1,1,0
110,0.6548333333333334,-114.60999999999997,129,1,21,0,0,1,1,0
111,0.6516666666666667,10.399999999999963,66,1,7,0,1,1,1,0
112,0.6485000000000001,-291.44000000000034,183,1,43,3,0,1,1,0
113,0.6453333333333333,-151.76999999999992,116,1,28,3,0,1,1,0
114,0.6421666666666668,-50.00999999999995,120,1,8,0,0,1,1,0
115,0.639,-265.1300000000003,202,1,38,0,0,1,1,0
116,0.6358333333333333,-50.780000000000015,86,1,18,0,0,1,1,0
117,0.6326666666666667,-14.400000000000048,82,1,10,0,0,1,1,0
118,0.6295,-124.69999999999995,117,1,25,1,0,1,1,0
119,0.6263333333333334,-133.68,148,1,20,0,0,1,1,0
120,0.6231666666666666,-49.90999999999998,92,1,16,0,0,1,1,0
