episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-805.9600000000013,422,1,98,4,0,1,1,0
4,0.9905,-759.0799999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1140.5100000000036,423,0,91,27,1,0,0,1
6,0.9841666666666666,-915.1100000000026,423,0,94,3,0,0,0,1
7,0.981,-982.3900000000016,423,0,102,7,0,0,0,1
8,0.9778333333333333,-924.9700000000015,423,0,102,2,0,1,0,1
9,0.9746666666666667,-1328.0600000000027,423,0,78,51,7,0,0,1
10,0.9715,-1038.62,423,0,98,9,6,0,0,1
11,0.9683333333333334,-558.5499999999995,370,1,58,1,0,1,1,0
12,0.9651666666666666,-895.8900000000023,423,0,90,3,0,0,0,1
13,0.962,-1194.3400000000026,423,0,102,32,0,0,0,1
14,0.9588333333333333,-1143.940000000002,423,0,78,34,0,0,0,1
15,0.9556666666666667,-1104.270000000001,423,0,96,25,0,1,0,1
16,0.9525,-799.680000000002,423,0,73,0,0,0,0,1
17,0.9493333333333334,-933.7600000000016,423,0,99,3,0,0,0,1
18,0.9461666666666667,-1060.7100000000005,423,0,113,9,2,0,0,1
19,0.9430000000000001,-1042.0800000000015,423,0,89,19,0,0,0,1
20,0.9398333333333333,-669.699999999998,370,1,78,4,0,1,1,0
21,0.9366666666666666,-908.9399999999998,423,0,94,5,0,1,0,1
22,0.9335,-770.4600000000027,423,0,65,0,0,0,0,1
23,0.9303333333333333,-909.7199999999991,423,0,78,8,1,0,0,1
24,0.9271666666666667,-868.1400000000006,423,0,87,1,0,0,0,1
25,0.924,-994.7200000000021,423,0,90,14,0,0,0,1
26,0.9208333333333334,-759.1899999999989,423,0,59,3,0,1,0,1
27,0.9176666666666666,-805.4499999999999,423,0,76,0,0,1,0,1
28,0.9145,-900.6299999999995,423,0,91,2,0,0,0,1
29,0.9113333333333333,-1081.450000000001,423,0,91,24,0,1,0,1
30,0.9081666666666667,-932.5999999999982,423,0,108,0,0,1,0,1
31,0.905,-731.1699999999987,423,0,53,0,0,0,0,1
32,0.9018333333333334,-1283.650000000002,423,0,94,39,4,0,0,1
33,0.8986666666666667,-483.8999999999988,310,1,60,0,0,1,1,0
34,0.8955,-1328.2499999999964,423,0,96,42,10,1,0,1
35,0.8923333333333333,-389.5799999999999,231,1,57,1,0,1,1,0
36,0.8891666666666667,-825.4799999999994,423,0,72,4,0,1,0,1
37,0.886,-595.9900000000008,324,1,57,12,0,1,1,0
38,0.8828333333333334,-1025.7100000000003,423,0,71,26,1,1,0,1
39,0.8796666666666667,-1141.7500000000025,423,0,79,33,0,0,0,1
40,0.8765000000000001,-923.8899999999996,423,0,101,1,0,1,0,1
41,0.8733333333333333,-1040.0800000000015,423,0,70,28,1,0,0,1
42,0.8701666666666666,-1159.6900000000003,423,0,96,27,0,0,0,1
43,0.867,-770.5100000000035,423,0,65,0,0,0,0,1
44,0.8638333333333333,-287.19,190,1,46,0,0,1,1,0
45,0.8606666666666667,-216.34999999999997,152,1,40,0,0,1,1,0
46,0.8575,-894.6500000000003,423,0,60,18,0,1,0,1
47,0.8543333333333334,-804.4600000000002,423,0,78,1,0,1,0,1
48,0.8511666666666666,-1056.7600000000027,423,0,62,32,0,0,0,1
49,0.848,-1001.4899999999988,423,0,64,27,0,0,0,1
50,0.8448333333333333,-770.6099999999993,423,0,59,4,0,1,0,1
51,0.8416666666666667,-93.10999999999997,116,1,20,0,0,1,1,0
52,0.8385,-1038.7000000000025,423,0,101,12,2,0,0,1
53,0.8353333333333334,-1064.4900000000014,423,0,94,19,0,0,0,1
54,0.8321666666666667,-730.879999999999,401,1,77,7,0,1,1,0
55,0.829,-833.0500000000014,423,0,87,0,0,1,0,1
56,0.8258333333333334,-821.7399999999999,423,0,80,2,0,1,0,1
57,0.8226666666666667,-1014.5900000000033,423,0,85,17,1,0,0,1
58,0.8195,-388.45999999999987,248,1,50,2,0,1,1,0
59,0.8163333333333334,-1036.960000000001,423,0,103,13,1,1,0,1
60,0.8131666666666667,-1077.7300000000007,423,0,115,13,0,1,0,1
61,0.81,-1061.6400000000021,423,0,87,24,0,1,0,1
62,0.8068333333333333,-227.78999999999985,189,1,29,1,0,1,1,0
63,0.8036666666666666,-1117.4700000000025,423,0,65,37,2,0,0,1
64,0.8005,-596.8400000000006,342,1,64,7,0,1,1,0
65,0.7973333333333333,-896.7700000000019,423,0,90,3,0,0,0,1
66,0.7941666666666667,-686.7100000000002,411,1,60,9,1,1,1,0
67,0.791,-420.8300000000001,285,1,51,0,0,1,1,0
68,0.7878333333333334,-822.3000000000029,423,0,73,2,0,0,0,1
69,0.7846666666666666,-737.720000000002,423,0,43,8,0,1,0,1
70,0.7815,-592.2700000000002,344,1,72,2,0,1,1,0
71,0.7783333333333333,-950.3499999999982,423,0,95,8,0,1,0,1
72,0.7751666666666667,-878.0400000000012,423,0,75,10,0,1,0,1
73,0.772,-307.7000000000003,234,1,38,0,0,1,1,0
74,0.7688333333333334,-828.9200000000025,423,0,59,11,0,1,0,1
75,0.7656666666666667,-1018.1000000000016,423,0,86,18,0,0,0,1
76,0.7625,-734.610000000001,423,0,46,6,0,1,0,1
77,0.7593333333333333,-877.6399999999998,423,0,82,1,2,0,0,1
78,0.7561666666666667,-804.1500000000002,423,0,64,6,0,1,0,1
79,0.753,-184.93999999999977,161,1,25,2,0,1,1,0
80,0.7498333333333334,-894.4699999999997,423,0,70,11,2,1,0,1
81,0.7466666666666667,-704.500000000001,423,0,51,0,0,1,0,1
82,0.7435,-187.3399999999998,144,1,30,2,0,1,1,0
83,0.7403333333333333,-145.93000000000006,157,1,21,0,0,1,1,0
84,0.7371666666666667,-245.8399999999998,198,1,34,0,0,1,1,0
85,0.734,-771.1699999999996,423,0,64,1,0,1,0,1
86,0.7308333333333333,-297.3300000000002,188,1,34,7,0,1,1,0
87,0.7276666666666667,-270.9599999999999,227,1,27,2,0,1,1,0
88,0.7245,-132.92000000000002,140,1,20,1,0,1,1,0
89,0.7213333333333334,-608.6400000000004,315,1,67,11,0,1,1,0
90,0.7181666666666666,-950.3200000000019,423,0,67,21,0,1,0,1
91,0.7150000000000001,-423.1300000000004,230,1,62,3,0,1,1,0
92,0.7118333333333333,-689.070000000001,416,1,74,3,0,1,1,0
93,0.7086666666666668,-381.78000000000003,297,1,37,0,0,1,1,0
94,0.7055,-741.8300000000015,423,0,56,1,1,1,0,1
95,0.7023333333333333,-935.3900000000016,423,0,72,14,1,0,0,1
96,0.6991666666666667,-311.39000000000004,266,1,30,0,0,1,1,0
97,0.696,-1062.910000000002,423,0,64,35,0,1,0,1
98,0.6928333333333334,-130.10999999999996,143,1,21,0,0,1,1,0
99,0.6896666666666667,-404.9900000000006,259,1,43,5,1,1,1,0
100,0.6865,-599.8000000000014,396,1,62,1,0,1,1,0
101,0.6833333333333333,-922.0500000000014,423,0,79,13,0,1,0,1
102,0.6801666666666667,-850.6700000000028,423,0,57,12,0,0,0,1
103,0.677,-289.7999999999998,206,1,42,0,0,1,1,0
104,0.6738333333333333,-157.27999999999992,153,1,25,0,0,1,1,0
105,0.6706666666666667,65.94999999999999,42,1,2,0,0,1,1,0
106,0.6675,-237.92000000000007,215,1,27,0,0,1,1,0
107,0.6643333333333333,-924.6400000000007,423,0,65,16,1,0,0,1
108,0.6611666666666667,-778.3900000000008,423,0,75,0,0,1,0,1
109,0.658,-226.82999999999976,183,1,31,1,0,1,1,0
110,0.6548333333333334,-490.79999999999967,365,1,51,0,0,1,1,0
111,0.6516666666666667,-553.4399999999998,322,1,56,8,0,1,1,0
112,0.6485000000000001,-887.5400000000014,423,0,81,7,0,1,0,1
113,0.6453333333333333,-350.01999999999964,252,1,39,0,3,1,1,0
114,0.6421666666666668,-1181.5300000000016,423,0,62,45,2,0,0,1
115,0.639,-882.0800000000031,423,0,51,17,1,0,0,1
116,0.6358333333333333,-856.1300000000016,423,0,61,13,0,1,0,1
117,0.6326666666666667,-152.53999999999985,169,1,19,0,0,1,1,0
118,0.6295,-765.5100000000023,423,0,59,5,0,1,0,1
119,0.6263333333333334,-366.2300000000004,287,1,33,2,0,1,1,0
