episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-841.9900000000005,423,0,61,12,0,1,0,1
2,0.9968333333333333,-1046.3299999999974,423,0,75,19,6,0,0,1
3,0.9936666666666667,-1084.9400000000019,423,0,63,30,9,1,0,1
4,0.9905,-961.220000000002,423,0,60,24,0,1,0,1
5,0.9873333333333333,-827.6300000000002,423,0,69,3,0,0,0,1
6,0.9841666666666666,-881.4700000000014,423,0,66,13,0,1,0,1
7,0.981,-925.24,423,0,81,5,5,0,0,1
8,0.9778333333333333,-933.0199999999976,423,0,70,14,5,1,0,1
9,0.9746666666666667,-926.5499999999993,423,0,77,14,0,1,0,1
10,0.9715,-851.8100000000001,423,0,62,12,0,1,0,1
11,0.9683333333333334,-962.7200000000018,423,0,75,16,1,1,0,1
12,0.9651666666666666,-828.260000000001,423,0,69,3,1,0,0,1
13,0.962,-998.4499999999994,423,0,81,14,0,0,0,1
14,0.9588333333333333,-863.940000000001,423,0,78,5,0,1,0,1
15,0.9556666666666667,-885.4699999999978,423,0,89,6,0,1,0,1
16,0.9525,-1044.149999999999,423,0,70,24,1,0,0,1
17,0.9493333333333334,-1107.0100000000027,423,0,98,24,0,1,0,1
18,0.9461666666666667,-882.0300000000005,423,0,71,7,2,0,0,1
19,0.9430000000000001,-1086.6700000000023,423,0,84,29,0,1,0,1
20,0.9398333333333333,-901.2600000000035,423,0,70,14,0,1,0,1
21,0.9366666666666666,-926.449999999999,423,0,52,20,1,0,0,1
22,0.9335,-1006.7400000000011,423,0,84,19,0,1,0,1
23,0.9303333333333333,-881.3200000000018,423,0,73,10,0,1,0,1
24,0.9271666666666667,-976.7300000000026,423,0,86,15,0,1,0,1
25,0.924,-845.0600000000013,423,0,77,4,0,1,0,1
26,0.9208333333333334,-930.5200000000011,423,0,72,14,2,1,0,1
27,0.9176666666666666,-770.8900000000012,423,0,58,4,0,1,0,1
28,0.9145,-979.4699999999984,423,0,71,14,4,0,0,1
29,0.9113333333333333,-979.9100000000001,423,0,66,22,2,1,0,1
30,0.9081666666666667,-864.6999999999999,423,0,79,7,0,1,0,1
31,0.905,-860.3800000000048,423,0,68,9,1,1,0,1
32,0.9018333333333334,-847.4300000000018,423,0,67,10,0,1,0,1
33,0.8986666666666667,-854.4400000000002,423,0,73,8,0,1,0,1
