episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-841.9900000000005,423,0,61,12,0,1,0,1
2,0.9968333333333333,-1038.4999999999975,423,0,73,19,6,0,0,1
3,0.9936666666666667,-1020.5799999999979,423,0,52,24,12,1,0,1
4,0.9905,-961.220000000002,423,0,60,24,0,1,0,1
5,0.9873333333333333,-871.0399999999988,423,0,66,6,3,0,0,1
6,0.9841666666666666,-887.0400000000018,423,0,71,12,0,1,0,1
7,0.981,-943.1899999999993,423,0,71,11,5,0,0,1
8,0.9778333333333333,-937.7599999999996,423,0,69,15,5,1,0,1
9,0.9746666666666667,-1049.8300000000015,423,0,82,24,1,1,0,1
10,0.9715,-947.6800000000026,423,0,76,16,0,1,0,1
11,0.9683333333333334,-935.4300000000027,423,0,77,13,1,1,0,1
12,0.9651666666666666,-953.5899999999995,423,0,89,8,0,0,0,1
13,0.962,-845.2000000000015,423,0,67,6,0,1,0,1
14,0.9588333333333333,-882.3299999999992,423,0,56,18,0,1,0,1
15,0.9556666666666667,-829.4300000000012,423,0,72,5,0,1,0,1
16,0.9525,-779.0199999999984,423,0,65,3,0,1,0,1
17,0.9493333333333334,-999.4999999999994,423,0,82,21,0,1,0,1
18,0.9461666666666667,-849.829999999999,423,0,54,12,0,0,0,1
19,0.9430000000000001,-1026.2400000000027,423,0,69,28,0,1,0,1
20,0.9398333333333333,-908.3800000000019,423,0,82,9,0,1,0,1
21,0.9366666666666666,-901.3400000000028,423,0,77,10,0,1,0,1
22,0.9335,-995.9800000000015,423,0,92,13,0,1,0,1
23,0.9303333333333333,-869.1600000000016,423,0,56,15,0,1,0,1
24,0.9271666666666667,-593.6700000000004,328,1,53,13,0,1,1,0
25,0.924,-913.0799999999989,423,0,60,19,0,1,0,1
26,0.9208333333333334,-1018.5700000000033,423,0,73,24,2,1,0,1
27,0.9176666666666666,-883.1600000000025,423,0,79,9,0,1,0,1
28,0.9145,-835.7400000000024,423,0,58,11,0,1,0,1
29,0.9113333333333333,-767.1500000000002,423,0,51,6,0,1,0,1
30,0.9081666666666667,-1014.0900000000016,423,0,63,29,1,1,0,1
31,0.905,-845.8000000000004,423,0,54,15,0,1,0,1
32,0.9018333333333334,-897.5700000000018,423,0,44,25,0,1,0,1
33,0.8986666666666667,-890.0599999999991,423,0,91,3,0,1,0,1
34,0.8955,-882.0600000000005,423,0,58,17,0,1,0,1
35,0.8923333333333333,-850.8799999999976,423,0,62,12,2,1,0,1
36,0.8891666666666667,-413.86999999999995,296,1,45,0,0,1,1,0
37,0.886,-785.3699999999983,423,0,68,2,0,1,0,1
38,0.8828333333333334,-774.7699999999973,423,0,54,8,0,1,0,1
39,0.8796666666666667,-947.9800000000034,423,0,80,14,0,1,0,1
40,0.8765000000000001,-909.4900000000015,423,0,68,15,0,1,0,1
41,0.8733333333333333,-775.8299999999988,423,0,47,9,0,1,0,1
42,0.8701666666666666,-891.2299999999976,423,0,86,7,0,1,0,1
43,0.867,-859.1699999999993,423,0,73,7,0,1,0,1
44,0.8638333333333333,-911.1299999999997,423,0,85,8,0,1,0,1
45,0.8606666666666667,-864.6000000000005,423,0,59,15,0,1,0,1
46,0.8575,-923.9200000000023,423,0,69,17,0,1,0,1
47,0.8543333333333334,-854.3300000000007,423,0,64,11,0,1,0,1
48,0.8511666666666666,-865.9400000000003,423,0,56,16,0,1,0,1
49,0.848,-173.2999999999999,152,1,16,6,0,1,1,0
50,0.8448333333333333,-834.3700000000022,423,0,63,8,1,1,0,1
51,0.8416666666666667,-870.6499999999997,423,0,64,12,1,1,0,1
52,0.8385,-305.0700000000003,233,1,29,4,0,1,1,0
53,0.8353333333333334,-826.4700000000012,423,0,69,6,0,1,0,1
54,0.8321666666666667,-750.4200000000018,423,0,52,6,0,1,0,1
55,0.829,-784.1099999999998,423,0,37,13,3,1,0,1
