episode,seed,success,reward,steps,terminated,truncated
1,10008,1,77.0,41,True,False
2,10009,1,56.0,45,True,False
3,10010,1,67.0,43,True,False
4,10011,1,74.0,40,True,False
5,10012,1,76.0,38,True,False
6,10013,1,72.0,47,True,False
7,10014,1,68.0,46,True,False
8,10015,1,55.0,47,True,False
9,10016,1,61.0,49,True,False
10,10017,1,77.0,41,True,False
11,10018,1,70.0,44,True,False
12,10019,1,80.0,42,True,False
13,10020,1,60.0,49,True,False
14,10021,1,77.0,41,True,False
15,10022,1,51.0,59,True,False
16,10023,1,73.0,45,True,False
17,10024,1,79.0,39,True,False
18,10025,1,64.0,50,True,False
19,10026,1,67.0,43,True,False
20,10027,1,80.0,42,True,False
21,10028,1,58.0,48,True,False
22,10029,1,70.0,44,True,False
23,10030,1,68.0,54,True,False
24,10031,1,59.0,46,True,False
25,10032,1,57.0,48,True,False
26,10033,1,55.0,55,True,False
27,10034,1,60.0,51,True,False
28,10035,1,68.0,54,True,False
29,10036,1,71.0,47,True,False
30,10037,1,73.0,45,True,False
31,10038,1,61.0,49,True,False
32,10039,1,76.0,46,True,False
33,10040,1,74.0,48,True,False
34,10041,1,72.0,47,True,False
35,10042,1,77.0,41,True,False
36,10043,1,78.0,44,True,False
37,10044,1,63.0,55,True,False
38,10045,1,71.0,47,True,False
39,10046,1,58.0,56,True,False
40,10047,1,63.0,55,True,False
41,10048,1,77.0,41,True,False
42,10049,1,79.0,36,True,False
43,10050,1,65.0,45,True,False
44,10051,1,68.0,46,True,False
45,10052,1,63.0,47,True,False
46,10053,1,70.0,52,True,False
47,10054,1,39.0,58,True,False
48,10055,1,59.0,54,True,False
49,10056,1,61.0,46,True,False
50,10057,1,80.0,42,True,False
51,10058,1,62.0,47,True,False
52,10059,1,77.0,41,True,False
53,10060,1,56.0,55,True,False
54,10061,1,59.0,51,True,False
55,10062,1,65.0,53,True,False
56,10063,1,53.0,52,True,False
57,10064,1,57.0,53,True,False
58,10065,1,69.0,49,True,False
59,10066,1,65.0,45,True,False
60,10067,1,52.0,62,True,False
61,10068,1,69.0,41,True,False
62,10069,1,67.0,51,True,False
63,10070,1,71.0,44,True,False
64,10071,1,68.0,46,True,False
65,10072,1,77.0,41,True,False
66,10073,1,61.0,49,True,False
67,10074,1,64.0,47,True,False
68,10075,1,64.0,45,True,False
69,10076,1,78.0,44,True,False
70,10077,1,41.0,58,True,False
71,10078,1,64.0,45,True,False
72,10079,1,78.0,41,True,False
73,10080,1,72.0,50,True,False
74,10081,1,49.0,53,True,False
75,10082,1,61.0,49,True,False
76,10083,1,71.0,41,True,False
77,10084,1,61.0,54,True,False
78,10085,1,60.0,44,True,False
79,10086,1,49.0,56,True,False
80,10087,1,67.0,43,True,False
81,10088,1,73.0,45,True,False
82,10089,1,77.0,41,True,False
83,10090,1,72.0,50,True,False
84,10091,1,71.0,47,True,False
85,10092,1,70.0,52,True,False
86,10093,1,65.0,53,True,False
87,10094,1,66.0,48,True,False
88,10095,1,68.0,46,True,False
89,10096,1,50.0,54,True,False
90,10097,1,58.0,43,True,False
91,10098,1,65.0,45,True,False
92,10099,1,78.0,44,True,False
93,10100,1,72.0,42,True,False
94,10101,1,73.0,45,True,False
95,10102,1,67.0,48,True,False
96,10103,1,37.0,57,True,False
97,10104,1,67.0,51,True,False
98,10105,1,50.0,61,True,False
99,10106,1,39.0,58,True,False
100,10107,1,72.0,42,True,False
