episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
1,1.0,-964.0000000000003,423,0,317,84,15,0,1,2,3,1,0,1,0,1
2,0.9940264484836504,-1034.1799999999982,423,0,321,70,19,8,0,1,4,0,0,1,0,1
3,0.9880885802850193,-905.240000000001,423,0,339,48,15,10,4,1,5,1,0,1,0,1
4,0.9821861822479699,-982.930000000001,423,0,311,93,10,2,0,2,4,1,0,1,0,1
5,0.9763190424896651,-896.6299999999986,423,0,335,75,7,0,0,3,3,0,0,1,0,1
6,0.9704869503929598,-828.9700000000018,423,0,348,72,3,0,0,0,0,0,0,1,0,1
7,0.9646896965988425,-876.8099999999997,423,0,335,82,2,0,0,3,1,0,0,1,0,1
8,0.9589270729989177,-880.0500000000011,423,0,340,77,6,0,0,0,0,0,0,1,0,1
9,0.9531988727279364,-979.6700000000011,423,0,314,83,17,0,4,0,4,1,0,1,0,1
10,0.9475048901563696,-947.5799999999999,423,0,322,67,19,0,0,3,11,1,0,1,0,1
11,0.9418449208830274,-973.3300000000015,423,0,324,78,16,1,0,0,3,1,0,1,0,1
12,0.9362187617277204,-864.4300000000011,423,0,333,75,7,0,0,2,5,1,0,1,0,1
13,0.9306262107239669,-984.6399999999986,423,0,318,87,10,0,0,3,5,0,0,1,0,1
14,0.925067067111742,-873.2400000000019,423,0,326,83,4,0,2,1,6,1,0,1,0,1
15,0.9195411313302716,-884.0199999999975,423,0,334,77,11,0,0,0,0,1,0,1,0,1
16,0.9140482050108678,-1025.1200000000013,423,0,312,75,23,1,0,5,6,1,0,1,0,1
17,0.9085880909698085,-1121.5200000000034,423,0,292,103,23,0,0,2,2,1,0,1,0,1
18,0.9031605932012586,-825.4700000000003,423,0,343,68,7,0,0,0,4,1,0,1,0,1
19,0.8977655168702341,-1013.3300000000027,423,0,312,86,20,0,1,0,3,1,0,1,0,1
20,0.8924026683056075,-882.1899999999966,423,0,335,74,11,0,0,1,1,1,0,1,0,1
21,0.8870718549931561,-997.6700000000022,423,0,314,86,17,0,0,2,3,1,0,1,0,1
22,0.8817728855686507,-866.1800000000029,423,0,335,70,9,1,0,1,6,1,0,1,0,1
23,0.8765055698109862,-790.7000000000007,423,0,354,60,6,0,1,0,1,1,0,1,0,1
24,0.8712697186353529,-878.6500000000018,423,0,337,73,10,0,0,0,2,1,0,1,0,1
25,0.8660651440864492,-782.5900000000013,423,0,358,51,8,0,0,2,3,1,0,1,0,1
26,0.8608916593317341,-856.3600000000033,423,0,341,59,14,0,2,1,5,1,0,1,0,1
27,0.8557490786547202,-860.2100000000031,423,0,340,55,16,0,1,2,8,1,0,1,0,1
28,0.8506372174483076,-901.770000000002,423,0,334,67,14,0,0,2,5,1,0,1,0,1
