episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
1,1.0,-964.0000000000003,423,0,317,84,15,0,1,2,3,1,0,1,0,1
2,0.9981,-1018.6699999999981,423,0,322,71,18,6,0,2,4,0,0,1,0,1
3,0.9962,-991.3999999999984,423,0,326,62,18,9,0,2,5,1,0,1,0,1
4,0.9943,-950.5700000000023,423,0,332,59,20,4,0,3,4,1,0,1,0,1
5,0.9924,-880.6300000000005,423,0,342,69,6,4,0,1,1,0,0,1,0,1
6,0.9905,-925.6000000000021,423,0,325,80,12,0,0,1,4,1,0,1,0,1
7,0.9886,-932.8299999999997,423,0,324,81,5,5,0,3,5,0,0,1,0,1
8,0.9867,-944.8700000000002,423,0,327,69,17,3,0,1,5,1,0,1,0,1
9,0.9848,-988.7800000000025,423,0,319,75,21,1,1,0,5,1,0,1,0,1
10,0.9829,-909.5099999999989,423,0,325,81,6,0,0,3,8,0,0,1,0,1
11,0.981,-1024.1600000000028,423,0,313,87,20,0,0,0,2,1,0,1,0,1
12,0.9791,-888.1300000000015,423,0,332,89,2,0,0,0,0,0,0,1,0,1
13,0.9772,-914.9500000000014,423,0,322,81,10,0,0,2,7,1,0,1,0,1
14,0.9753000000000001,-861.3000000000001,423,0,337,66,11,0,3,1,4,1,0,1,0,1
15,0.9734,-911.4199999999969,423,0,327,84,11,0,0,0,0,1,0,1,0,1
16,0.9715,-972.1399999999985,423,0,320,74,20,0,0,3,5,1,0,1,0,1
17,0.9696,-1205.1300000000033,423,0,280,108,30,0,0,1,3,1,0,1,0,1
18,0.9677,-881.5900000000021,423,0,334,82,1,4,0,0,2,0,0,1,0,1
19,0.9658,-1089.600000000003,423,0,306,83,29,0,0,2,2,1,0,1,0,1
20,0.9639,-887.2600000000023,423,0,337,68,13,1,1,0,2,1,0,1,0,1
21,0.962,-925.5299999999985,423,0,336,58,22,0,0,2,4,1,0,1,0,1
22,0.9601,-942.2200000000016,423,0,321,90,9,0,0,1,1,1,0,1,0,1
23,0.9582,-845.2300000000016,423,0,347,62,11,0,0,1,1,1,0,1,0,1
24,0.9563,-1147.0300000000022,423,0,286,110,23,0,0,0,3,1,0,1,0,1
25,0.9544,-883.3900000000007,423,0,334,69,12,0,3,0,4,1,0,1,0,1
26,0.9525,-901.2200000000014,423,0,327,70,13,0,3,1,8,1,0,1,0,1
27,0.9506,-853.9000000000003,423,0,343,59,9,0,0,5,7,0,0,1,0,1
28,0.9487,-881.7800000000019,423,0,339,67,10,2,0,3,1,1,0,1,0,1
29,0.9468,-966.2799999999999,423,0,326,71,19,0,0,4,2,1,0,1,0,1
30,0.9449,-980.4300000000019,423,0,314,90,13,0,2,2,1,1,0,1,0,1
31,0.9430000000000001,-910.0100000000022,423,0,334,65,12,5,0,1,5,1,0,1,0,1
32,0.9411,-814.699999999999,423,0,350,65,5,0,0,0,2,1,0,1,0,1
33,0.9392,-877.659999999999,423,0,329,89,4,0,0,0,0,1,0,1,0,1
34,0.9373,-905.4999999999986,423,0,339,57,14,1,0,5,7,0,0,1,0,1
35,0.9354,-925.0500000000013,423,0,324,95,3,0,0,0,1,0,0,1,0,1
36,0.9335,-991.1100000000026,423,0,302,94,11,0,1,4,10,1,0,1,0,1
37,0.9316,-817.0499999999998,423,0,351,61,7,1,0,1,1,1,0,1,0,1
38,0.9297,-868.8799999999991,423,0,349,60,11,1,0,1,1,0,0,1,0,1
39,0.9278,-932.8000000000009,423,0,317,81,13,0,0,5,6,1,0,1,0,1
