episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-978.4300000000006,423,0,72,18,0,0,0,1
2,0.9981,-807.6500000000015,423,0,71,1,0,0,0,1
3,0.9962,-907.5,423,0,81,9,1,1,0,1
4,0.9943,-937.1100000000013,423,0,65,21,0,1,0,1
5,0.9924,-860.9400000000007,423,0,65,8,0,0,0,1
6,0.9905,-909.8500000000012,423,0,53,19,1,0,0,1
7,0.9886,-1138.3300000000006,423,0,78,37,0,1,0,1
8,0.9867,-1041.3799999999972,423,0,83,24,2,1,0,1
9,0.9848,-914.6099999999989,423,0,84,6,0,0,0,1
10,0.9829,-969.0899999999993,423,0,78,14,0,0,0,1
11,0.981,-866.0500000000008,423,0,81,3,0,0,0,1
12,0.9791,-1041.610000000001,423,0,74,27,0,1,0,1
13,0.9772,-1165.450000000001,423,0,134,15,0,1,0,1
14,0.9753000000000001,-1024.0900000000015,423,0,87,17,4,1,0,1
15,0.9734,-946.9600000000004,423,0,100,5,0,1,0,1
16,0.9715,-1007.1000000000023,423,0,100,12,0,1,0,1
17,0.9696,-920.8799999999999,423,0,55,14,7,0,0,1
18,0.9677,-1111.060000000005,423,0,90,27,1,1,0,1
19,0.9658,-1040.1800000000026,423,0,108,11,0,1,0,1
20,0.9639,-779.1599999999993,423,0,65,4,0,1,0,1
21,0.962,-770.3500000000022,423,0,52,3,2,0,0,1
22,0.9601,-763.2000000000016,387,1,70,16,0,1,1,0
23,0.9582,-975.9000000000012,423,0,81,16,0,1,0,1
24,0.9563,-882.8900000000035,423,0,67,14,0,1,0,1
25,0.9544,-813.0100000000009,423,0,58,9,0,1,0,1
26,0.9525,-873.6400000000009,423,0,78,4,1,0,0,1
27,0.9506,-870.5400000000022,423,0,72,9,0,1,0,1
28,0.9487,-868.3200000000016,423,0,86,0,0,0,0,1
29,0.9468,-994.8699999999994,423,0,61,28,0,1,0,1
30,0.9449,-893.1799999999992,423,0,63,15,2,1,0,1
31,0.9430000000000001,-816.9300000000012,423,0,61,5,1,0,0,1
32,0.9411,-1029.720000000001,423,0,82,21,0,1,0,1
33,0.9392,-872.3900000000002,423,0,61,15,0,1,0,1
34,0.9373,-798.9400000000022,423,0,68,1,0,0,0,1
35,0.9354,-834.230000000001,423,0,51,13,1,1,0,1
36,0.9335,-1082.6200000000024,423,0,125,10,0,1,0,1
37,0.9316,-992.7600000000004,423,0,70,23,0,1,0,1
38,0.9297,-923.1700000000008,423,0,61,15,5,1,0,1
39,0.9278,-832.2100000000002,423,0,63,8,1,1,0,1
40,0.9259,-810.9699999999996,423,0,73,5,0,1,0,1
41,0.924,-785.1400000000015,423,0,54,5,1,0,0,1
42,0.9221,-938.0300000000026,423,0,83,12,0,1,0,1
43,0.9202,-938.6299999999987,423,0,102,6,0,1,0,1
44,0.9183,-1000.5400000000019,423,0,76,21,1,1,0,1
45,0.9164,-826.4899999999997,423,0,65,4,1,0,0,1
46,0.9145,-810.5999999999998,423,0,52,10,1,1,0,1
47,0.9126,-890.7200000000023,423,0,62,16,0,1,0,1
48,0.9107000000000001,-918.6900000000011,423,0,78,12,1,1,0,1
49,0.9088,-947.2100000000003,423,0,66,18,0,0,0,1
50,0.9069,-791.8100000000015,423,0,57,6,0,1,0,1
51,0.905,-825.5900000000005,423,0,44,14,4,1,0,1
52,0.9031,-865.9199999999995,423,0,60,14,0,1,0,1
53,0.9012,-967.1400000000021,423,0,69,21,0,1,0,1
54,0.8993,-916.2400000000013,423,0,77,12,0,1,0,1
55,0.8974,-986.6300000000025,423,0,73,20,0,1,0,1
56,0.8955,-775.7600000000008,423,0,56,6,0,1,0,1
57,0.8936,-993.9200000000003,423,0,83,18,0,1,0,1
58,0.8917,-855.9599999999983,423,0,50,18,0,1,0,1
59,0.8898,-921.2200000000023,423,0,56,22,0,1,0,1
60,0.8879,-803.209999999998,423,0,50,12,0,1,0,1
61,0.886,-960.2700000000026,423,0,64,23,0,1,0,1
62,0.8841,-964.9700000000022,423,0,69,20,0,1,0,1
63,0.8822,-1044.2299999999987,423,0,97,13,0,0,0,1
64,0.8803,-842.3500000000007,423,0,68,8,0,1,0,1
65,0.8784,-903.6800000000001,423,0,69,15,0,1,0,1
66,0.8765000000000001,-1003.6600000000021,423,0,87,16,1,1,0,1
67,0.8746,-869.0500000000013,423,0,71,10,0,1,0,1
68,0.8727,-802.9499999999991,423,0,65,6,0,1,0,1
69,0.8708,-776.1399999999994,423,0,55,6,1,1,0,1
70,0.8689,-955.4000000000011,423,0,81,15,0,1,0,1
71,0.867,-920.6300000000025,423,0,44,27,1,1,0,1
72,0.8651,-826.1400000000017,423,0,69,6,0,1,0,1
73,0.8632,-977.6400000000009,423,0,72,20,0,1,0,1
74,0.8613,-915.2399999999977,423,0,65,18,0,1,0,1
75,0.8594,-899.4599999999991,423,0,71,13,0,1,0,1
76,0.8575,-858.9400000000024,423,0,66,9,1,1,0,1
77,0.8556,-747.7399999999984,423,0,60,3,0,1,0,1
78,0.8537,-907.099999999999,423,0,86,10,0,1,0,1
79,0.8518,-840.7200000000045,423,0,50,15,0,1,0,1
80,0.8499,-570.3399999999989,390,1,42,7,0,1,1,0
81,0.848,-799.0300000000044,423,0,57,7,1,1,0,1
82,0.8461,-915.7900000000033,423,0,57,19,2,1,0,1
83,0.8442000000000001,-907.879999999999,423,0,78,9,1,1,0,1
84,0.8423,-744.2699999999992,423,0,48,8,0,1,0,1
85,0.8404,-906.1599999999995,423,0,79,10,0,1,0,1
86,0.8385,-959.2999999999977,423,0,51,23,3,0,0,1
87,0.8366,-999.930000000002,423,0,78,21,0,1,0,1
88,0.8347,-881.039999999997,423,0,66,15,0,1,0,1
89,0.8328,-862.3100000000021,423,0,55,16,0,1,0,1
90,0.8309,-709.8800000000002,423,0,34,7,1,1,0,1
91,0.829,-788.6199999999995,423,0,41,13,1,1,0,1
92,0.8271,-940.960000000001,423,0,63,20,0,1,0,1
93,0.8252,-811.9299999999959,423,0,55,12,0,1,0,1
94,0.8233,-870.0700000000013,423,0,63,13,0,1,0,1
95,0.8214,-861.2500000000009,423,0,68,10,0,1,0,1
96,0.8195,-761.2599999999977,423,0,53,6,0,1,0,1
97,0.8176,-488.0700000000007,343,1,38,6,0,1,1,0
98,0.8157,-853.0600000000001,423,0,68,9,1,1,0,1
99,0.8138,-857.4899999999989,423,0,64,12,0,1,0,1
100,0.8119000000000001,-740.3599999999984,423,0,38,11,0,1,0,1
101,0.81,-919.3100000000024,423,0,59,21,0,1,0,1
102,0.8081,-886.7800000000015,423,0,53,18,2,1,0,1
103,0.8062,-846.0600000000026,423,0,51,16,0,1,0,1
104,0.8043,-762.6300000000005,423,0,34,14,0,1,0,1
105,0.8024,-884.3599999999999,423,0,78,9,0,1,0,1
106,0.8005,-873.0099999999998,423,0,74,8,0,1,0,1
107,0.7986,-785.2600000000022,423,0,48,11,0,1,0,1
108,0.7967,-723.1499999999987,423,0,48,5,0,1,0,1
109,0.7948,-902.2300000000007,423,0,41,25,2,1,0,1
110,0.7929,-779.090000000001,423,0,58,6,0,1,0,1
111,0.791,-748.1899999999982,423,0,48,9,0,1,0,1
112,0.7891,-795.0,423,0,43,14,0,1,0,1
113,0.7872,-749.8699999999999,422,1,61,14,0,1,1,0
114,0.7853,-780.6600000000014,423,0,53,7,0,1,0,1
115,0.7834,-754.7500000000003,423,0,57,4,0,1,0,1
116,0.7815,-742.7399999999972,423,0,42,9,0,1,0,1
117,0.7796,-794.4700000000029,423,0,41,12,2,1,0,1
118,0.7777000000000001,-877.7900000000014,423,0,56,17,0,1,0,1
119,0.7758,-853.7600000000022,423,0,78,4,1,1,0,1
120,0.7739,-546.8600000000007,366,1,57,0,1,1,1,0
121,0.772,-857.7900000000012,423,0,71,8,0,1,0,1
122,0.7701,-841.3500000000004,423,0,66,9,0,1,0,1
123,0.7682,-864.8000000000031,423,0,56,15,1,1,0,1
124,0.7663,-754.879999999998,423,0,48,8,1,1,0,1
125,0.7644,-756.7599999999993,423,0,51,6,0,1,0,1
126,0.7625,-763.3000000000012,423,0,42,11,0,1,0,1
127,0.7605999999999999,-765.3399999999981,423,0,60,6,0,1,0,1
128,0.7587,-805.5999999999979,423,0,43,16,0,1,0,1
129,0.7568,-583.1899999999986,417,1,43,5,0,1,1,0
130,0.7549,-756.9699999999979,423,0,53,7,0,1,0,1
131,0.753,-950.7300000000026,423,0,73,19,0,1,0,1
132,0.7511,-763.7699999999991,423,0,55,5,0,1,0,1
133,0.7492,-728.6999999999999,423,0,45,7,0,1,0,1
134,0.7473000000000001,-811.5499999999989,423,0,49,14,0,1,0,1
135,0.7454000000000001,-424.1299999999996,319,1,31,5,0,1,1,0
136,0.7435,-724.8099999999995,423,0,54,3,0,1,0,1
137,0.7416,-233.0799999999998,209,1,23,2,0,1,1,0
138,0.7397,-389.9000000000001,294,1,22,9,0,1,1,0
139,0.7378,-683.3299999999987,423,0,45,3,1,1,0,1
140,0.7359,-775.5499999999998,423,0,54,5,2,1,0,1
141,0.734,-874.1300000000012,423,0,82,4,0,1,0,1
142,0.7321,-190.27999999999986,181,1,11,5,0,1,1,0
143,0.7302,-46.19000000000004,88,1,14,1,0,1,1,0
144,0.7283000000000001,-578.7100000000019,416,1,43,5,0,1,1,0
145,0.7264,-674.7199999999992,423,0,43,2,0,1,0,1
146,0.7245,-719.7599999999994,423,0,50,2,0,1,0,1
147,0.7226,-659.300000000001,372,1,48,17,0,1,1,0
148,0.7207,-786.4699999999984,423,0,63,7,0,1,0,1
149,0.7188000000000001,-582.9800000000004,342,1,55,8,0,1,1,0
150,0.7169000000000001,-535.6099999999994,315,1,55,7,0,1,1,0
151,0.7150000000000001,-562.1599999999999,344,1,46,9,2,1,1,0
152,0.7131000000000001,-800.800000000002,423,0,43,15,0,1,0,1
153,0.7112,-848.4500000000029,423,0,64,11,0,1,0,1
154,0.7093,-773.9500000000019,423,0,44,11,0,1,0,1
155,0.7074,-446.1699999999989,353,1,25,6,0,1,1,0
156,0.7055,-715.1900000000003,423,0,40,6,1,1,0,1
157,0.7036,-769.5100000000009,423,0,48,9,0,1,0,1
158,0.7017,-811.1199999999985,423,0,45,16,0,1,0,1
159,0.6998,-764.7500000000009,423,0,56,5,0,1,0,1
160,0.6979,-721.8399999999991,423,0,44,8,0,1,0,1
161,0.696,-532.3299999999992,346,1,49,5,0,1,1,0
162,0.6940999999999999,-755.6399999999985,423,0,52,7,0,1,0,1
163,0.6921999999999999,-732.4600000000016,423,0,41,10,0,1,0,1
164,0.6903,-476.4499999999993,312,1,30,12,0,1,1,0
165,0.6884,-832.3900000000034,423,0,45,17,0,1,0,1
166,0.6865,-596.3600000000008,407,1,45,7,0,1,1,0
167,0.6846,-769.7899999999981,423,0,48,10,0,1,0,1
168,0.6827,-75.37000000000005,123,1,10,1,0,1,1,0
169,0.6808000000000001,-738.8600000000018,423,0,41,9,0,1,0,1
170,0.6789000000000001,-398.0099999999999,282,1,31,7,0,1,1,0
