episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-899.0,423,0,84,15,0,1,0,1
2,0.9981,-937.0,423,0,71,18,6,0,0,1
3,0.9962,-901.0,423,0,62,18,9,1,0,1
4,0.9943,-875.0,423,0,59,20,4,1,0,1
5,0.9924,-804.0,423,0,69,6,4,0,0,1
6,0.9905,-845.0,423,0,78,12,0,1,0,1
7,0.9886,-856.0,423,0,81,5,5,0,0,1
8,0.9867,-857.0,423,0,69,15,3,1,0,1
9,0.9848,-918.0,423,0,75,21,1,1,0,1
10,0.9829,-830.0,423,0,81,6,0,0,0,1
11,0.981,-950.0,423,0,87,20,0,1,0,1
12,0.9791,-851.0,423,0,93,4,0,0,0,1
13,0.9772,-842.0,423,0,81,10,0,1,0,1
14,0.9753000000000001,-804.0,423,0,70,11,0,1,0,1
15,0.9734,-857.0,423,0,84,11,0,1,0,1
16,0.9715,-920.0,423,0,74,21,1,1,0,1
17,0.9696,-1143.0,423,0,94,38,0,1,0,1
18,0.9677,-827.0,423,0,80,4,4,0,0,1
19,0.9658,-960.0,423,0,79,24,0,1,0,1
20,0.9639,-818.0,423,0,68,13,1,1,0,1
21,0.962,-862.0,423,0,55,23,1,1,0,1
22,0.9601,-865.0,423,0,83,12,0,1,0,1
23,0.9582,-780.0,423,0,64,11,0,1,0,1
24,0.9563,-1077.0,423,0,112,23,0,1,0,1
25,0.9544,-857.0,423,0,78,13,0,1,0,1
26,0.9525,-828.0,423,0,64,16,0,1,0,1
27,0.9506,-739.0,423,0,55,7,1,0,0,1
28,0.9487,-834.0,423,0,71,12,2,1,0,1
29,0.9468,-880.0,423,0,71,18,0,1,0,1
30,0.9449,-800.0,423,0,69,10,0,1,0,1
31,0.9430000000000001,-829.0,423,0,73,12,1,1,0,1
32,0.9411,-896.0,423,0,66,22,0,1,0,1
33,0.9392,-857.0,423,0,91,4,2,0,0,1
34,0.9373,-769.0,423,0,77,2,0,0,0,1
35,0.9354,-817.0,423,0,74,8,0,0,0,1
36,0.9335,-827.0,423,0,76,6,2,0,0,1
37,0.9316,-804.0,423,0,74,8,2,1,0,1
38,0.9297,-784.0,423,0,56,12,0,0,0,1
39,0.9278,-791.0,423,0,84,1,0,0,0,1
40,0.9259,-853.0,423,0,86,5,3,0,0,1
41,0.924,-792.0,423,0,76,7,0,1,0,1
42,0.9221,-957.0,423,0,97,15,0,1,0,1
43,0.9202,-805.0,423,0,80,7,0,1,0,1
44,0.9183,-767.0,423,0,39,18,3,1,0,1
45,0.9164,-919.0,423,0,80,19,0,1,0,1
46,0.9145,-959.0,423,0,72,27,0,1,0,1
47,0.9126,-759.0,423,0,51,11,1,0,0,1
48,0.9107000000000001,-761.0,423,0,63,9,0,1,0,1
49,0.9088,-719.0,423,0,57,7,0,1,0,1
50,0.9069,-780.0,423,0,61,8,3,0,0,1
51,0.905,-843.0,423,0,94,5,0,1,0,1
52,0.9031,-836.0,423,0,72,14,0,1,0,1
53,0.9012,-924.0,423,0,71,22,2,1,0,1
54,0.8993,-843.0,423,0,65,16,2,1,0,1
55,0.8974,-829.0,423,0,80,7,3,1,0,1
56,0.8955,-850.0,423,0,76,13,1,1,0,1
57,0.8936,-851.0,423,0,69,17,0,1,0,1
58,0.8917,-793.0,423,0,56,16,0,1,0,1
59,0.8898,-962.0,423,0,96,17,0,1,0,1
60,0.8879,-897.0,423,0,59,22,2,0,0,1
61,0.886,-920.0,423,0,75,21,0,1,0,1
62,0.8841,-815.0,423,0,75,10,0,1,0,1
63,0.8822,-882.0,423,0,73,18,0,1,0,1
64,0.8803,-735.0,423,0,55,10,0,1,0,1
65,0.8784,-690.0,423,0,64,0,0,1,0,1
66,0.8765000000000001,-803.0,423,0,63,14,0,1,0,1
67,0.8746,-808.0,423,0,59,16,0,1,0,1
68,0.8727,-663.0,423,0,55,0,0,0,0,1
69,0.8708,-763.0,423,0,74,5,0,1,0,1
70,0.8689,-849.0,423,0,91,7,0,1,0,1
71,0.867,-724.0,423,0,58,7,1,1,0,1
72,0.8651,-808.0,423,0,60,14,2,1,0,1
73,0.8632,-854.0,423,0,87,9,0,1,0,1
74,0.8613,-791.0,423,0,54,17,0,1,0,1
75,0.8594,-625.0,423,0,41,1,0,0,0,1
76,0.8575,-805.0,423,0,74,9,0,1,0,1
77,0.8556,-771.0,423,0,67,9,0,1,0,1
78,0.8537,-638.0,383,1,83,5,0,1,1,0
79,0.8518,-782.0,423,0,58,12,2,1,0,1
80,0.8499,-715.0,423,0,62,4,0,1,0,1
81,0.848,-715.0,423,0,53,9,0,1,0,1
82,0.8461,-732.0,423,0,52,11,0,1,0,1
83,0.8442000000000001,-821.0,423,0,81,7,0,1,0,1
84,0.8423,-845.0,423,0,87,8,0,1,0,1
85,0.8404,-835.0,423,0,68,15,0,1,0,1
86,0.8385,-799.0,423,0,62,13,0,1,0,1
87,0.8366,-778.0,423,0,65,10,0,1,0,1
88,0.8347,-731.0,423,0,60,7,0,1,0,1
89,0.8328,-763.0,423,0,71,6,0,1,0,1
90,0.8309,-759.0,423,0,46,14,3,1,0,1
91,0.829,-631.0,397,1,71,8,0,1,1,0
92,0.8271,-541.0,390,1,58,3,2,1,1,0
93,0.8252,-849.0,423,0,67,17,0,1,0,1
94,0.8233,-765.0,423,0,61,11,0,1,0,1
95,0.8214,-868.0,423,0,74,14,0,0,0,1
96,0.8195,-745.0,423,0,44,16,0,1,0,1
97,0.8176,-720.0,423,0,49,11,0,1,0,1
98,0.8157,-855.0,423,0,63,18,1,1,0,1
99,0.8138,-767.0,423,0,63,10,0,1,0,1
100,0.8119000000000001,-790.0,423,0,59,13,0,1,0,1
101,0.81,-681.0,423,0,34,13,0,1,0,1
102,0.8081,-788.0,423,0,48,19,0,1,0,1
103,0.8062,-703.0,423,0,44,11,0,1,0,1
104,0.8043,-700.0,423,0,62,3,0,1,0,1
105,0.8024,-890.0,423,0,62,22,1,1,0,1
106,0.8005,-836.0,423,0,51,23,0,1,0,1
107,0.7986,-781.0,423,0,52,16,1,1,0,1
108,0.7967,-266.0,258,1,25,3,0,1,1,0
109,0.7948,-636.0,423,0,31,9,0,1,0,1
110,0.7929,-693.0,423,0,58,4,0,1,0,1
111,0.791,-806.0,423,0,72,10,0,1,0,1
112,0.7891,-823.0,423,0,74,11,0,1,0,1
113,0.7872,-746.0,423,0,51,13,0,1,0,1
114,0.7853,-697.0,423,0,50,8,0,1,0,1
115,0.7834,-687.0,423,0,36,12,1,1,0,1
116,0.7815,-598.0,423,0,41,0,0,1,0,1
117,0.7796,-701.0,423,0,54,7,0,1,0,1
118,0.7777000000000001,-718.0,423,0,65,4,0,1,0,1
119,0.7758,-674.0,423,0,51,5,0,1,0,1
120,0.7739,-699.0,423,0,46,10,0,1,0,1
121,0.772,-739.0,423,0,53,11,0,1,0,1
122,0.7701,-717.0,423,0,63,4,1,1,0,1
123,0.7682,-729.0,423,0,49,12,0,1,0,1
124,0.7663,-681.0,423,0,43,9,0,1,0,1
125,0.7644,-790.0,423,0,74,8,0,1,0,1
126,0.7625,-725.0,423,0,51,10,0,1,0,1
127,0.7605999999999999,-728.0,423,0,63,6,0,1,0,1
128,0.7587,-459.0,344,1,45,6,0,1,1,0
129,0.7568,-664.0,423,0,53,3,0,1,0,1
130,0.7549,-700.0,423,0,41,12,0,1,0,1
131,0.753,-782.0,423,0,39,21,0,1,0,1
132,0.7511,-782.0,423,0,48,18,0,1,0,1
133,0.7492,-679.0,423,0,53,5,0,1,0,1
134,0.7473000000000001,-717.0,423,0,49,11,0,1,0,1
135,0.7454000000000001,-712.0,423,0,59,5,0,1,0,1
136,0.7435,-738.0,423,0,58,9,0,1,0,1
137,0.7416,-676.0,423,0,38,10,0,1,0,1
138,0.7397,-684.0,423,0,40,10,0,1,0,1
139,0.7378,-708.0,423,0,55,7,0,1,0,1
140,0.7359,-597.0,423,0,28,7,0,1,0,1
141,0.734,-743.0,423,0,39,18,0,1,0,1
142,0.7321,-684.0,423,0,46,7,0,1,0,1
143,0.7302,-730.0,423,0,53,10,0,1,0,1
144,0.7283000000000001,-709.0,423,0,44,12,0,1,0,1
145,0.7264,-645.0,423,0,46,4,0,1,0,1
146,0.7245,-714.0,423,0,49,10,0,1,0,1
147,0.7226,-656.0,423,0,39,8,0,1,0,1
148,0.7207,-682.0,423,0,47,8,0,1,0,1
149,0.7188000000000001,-453.0,375,1,38,5,0,1,1,0
150,0.7169000000000001,-708.0,423,0,55,7,0,1,0,1
151,0.7150000000000001,-660.0,423,0,34,10,0,1,0,1
152,0.7131000000000001,-658.0,423,0,33,10,2,1,0,1
153,0.7112,-700.0,423,0,65,2,0,1,0,1
154,0.7093,-167.0,221,1,14,1,0,1,1,0
