episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.3,1.0,-978.4300000000006,423,0,72,18,0,0,0,1
2,0.3,0.9981,-807.6500000000015,423,0,71,1,0,0,0,1
3,0.3,0.9962,-907.5,423,0,81,9,1,1,0,1
4,0.3,0.9943,-937.1100000000013,423,0,65,21,0,1,0,1
5,0.3,0.9924,-860.9400000000007,423,0,65,8,0,0,0,1
6,0.3,0.9905,-909.8500000000012,423,0,53,19,1,0,0,1
7,0.3,0.9886,-1138.3300000000006,423,0,78,37,0,1,0,1
8,0.3,0.9867,-1041.6299999999972,423,0,83,24,2,1,0,1
9,0.3,0.9848,-914.6099999999989,423,0,84,6,0,0,0,1
10,0.3,0.9829,-919.8699999999994,423,0,73,10,1,0,0,1
11,0.3,0.981,-874.1300000000008,423,0,83,3,0,0,0,1
12,0.3,0.9791,-1041.610000000001,423,0,74,27,0,1,0,1
13,0.3,0.9772,-1136.9000000000008,423,0,125,16,0,1,0,1
14,0.3,0.9753000000000001,-1016.1600000000016,423,0,85,17,4,1,0,1
15,0.3,0.9734,-905.6000000000023,423,0,60,19,0,1,0,1
16,0.3,0.9715,-990.8600000000002,423,0,106,4,0,0,0,1
17,0.3,0.9696,-909.7699999999986,423,0,57,11,7,0,0,1
18,0.3,0.9677,-1097.5900000000036,423,0,87,27,0,1,0,1
19,0.3,0.9658,-754.3900000000021,423,0,48,6,0,1,0,1
20,0.3,0.9639,-846.9299999999997,423,0,52,13,3,1,0,1
21,0.3,0.962,-972.809999999998,423,0,44,25,4,0,0,1
22,0.3,0.9601,-834.5700000000012,423,0,78,0,1,0,0,1
23,0.3,0.9582,-979.840000000001,423,0,106,5,1,1,0,1
24,0.3,0.9563,-954.6599999999986,423,0,86,9,3,1,0,1
25,0.3,0.9544,-1071.4999999999998,423,0,81,24,3,1,0,1
26,0.3,0.9525,-941.4599999999989,423,0,83,9,0,0,0,1
27,0.3,0.9506,-1055.3600000000024,423,0,81,25,0,1,0,1
28,0.3,0.9487,-848.6400000000016,423,0,74,4,0,0,0,1
29,0.3,0.9468,-864.4299999999994,423,0,77,6,0,1,0,1
30,0.3,0.9449,-927.6300000000003,423,0,70,13,0,0,0,1
31,0.3,0.9430000000000001,-913.83,423,0,82,7,0,0,0,1
32,0.3,0.9411,-1057.6799999999998,423,0,71,22,5,0,0,1
33,0.3,0.9392,-1053.970000000004,423,0,76,28,0,1,0,1
34,0.3,0.9373,-791.9100000000004,423,0,53,8,0,1,0,1
35,0.3,0.9354,-781.4499999999995,423,0,55,7,0,1,0,1
36,0.3,0.9335,-988.9800000000001,423,0,100,8,0,1,0,1
37,0.3,0.9316,-1002.7499999999991,423,0,74,17,2,0,0,1
38,0.3,0.9297,-946.3900000000009,423,0,79,14,0,1,0,1
39,0.3,0.9278,-794.4700000000008,423,0,53,10,0,1,0,1
40,0.3,0.9259,-825.2599999999998,423,0,58,8,2,1,0,1
41,0.3,0.924,-753.790000000002,423,0,55,1,1,0,0,1
42,0.3,0.9221,-857.3400000000036,423,0,43,19,3,1,0,1
43,0.3,0.9202,-943.6200000000016,423,0,107,0,0,0,0,1
44,0.3,0.9183,-842.6599999999983,423,0,63,10,0,1,0,1
45,0.3,0.9164,-974.8000000000036,423,0,90,13,0,1,0,1
46,0.3,0.9145,-768.1000000000004,423,0,41,8,1,0,0,1
47,0.3,0.9126,-1008.2900000000025,423,0,99,12,0,1,0,1
48,0.3,0.9107000000000001,-919.9200000000027,423,0,65,16,2,1,0,1
49,0.3,0.9088,-909.5300000000003,423,0,85,7,1,1,0,1
50,0.3,0.9069,-832.8399999999983,423,0,47,15,1,1,0,1
51,0.3,0.905,-860.6300000000019,423,0,70,6,1,0,0,1
52,0.3,0.9031,-864.6400000000009,423,0,61,14,0,1,0,1
53,0.3,0.9012,-912.8100000000017,423,0,75,13,0,1,0,1
54,0.3,0.8993,-935.3800000000012,423,0,71,18,0,1,0,1
55,0.3,0.8974,-1031.0600000000009,423,0,93,16,2,1,0,1
56,0.3,0.8955,-867.5500000000037,423,0,66,12,0,1,0,1
57,0.3,0.8936,-853.320000000001,423,0,74,6,0,1,0,1
58,0.3,0.8917,-926.9400000000016,423,0,56,19,5,1,0,1
59,0.3,0.8898,-870.6300000000007,423,0,71,9,0,1,0,1
60,0.3,0.8879,-738.8499999999977,423,0,45,8,0,1,0,1
61,0.3,0.886,-791.5899999999983,423,0,54,8,1,1,0,1
62,0.3,0.8841,-920.7800000000021,423,0,80,12,0,1,0,1
63,0.3,0.8822,-939.7599999999991,423,0,36,34,0,1,0,1
64,0.3,0.8803,-816.5500000000018,423,0,50,11,3,1,0,1
