episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.3,1.0,-896.0,423,0,72,18,0,0,0,1
2,0.3,0.9981,-736.0,423,0,71,1,0,0,0,1
3,0.3,0.9962,-834.0,423,0,81,9,1,1,0,1
4,0.3,0.9943,-871.0,423,0,65,21,0,1,0,1
5,0.3,0.9924,-784.0,423,0,65,8,0,0,0,1
6,0.3,0.9905,-833.0,423,0,53,19,1,0,0,1
7,0.3,0.9886,-1070.0,423,0,78,37,0,1,0,1
8,0.3,0.9867,-984.0,423,0,83,24,2,1,0,1
9,0.3,0.9848,-811.0,423,0,83,4,0,0,0,1
10,0.3,0.9829,-841.0,423,0,73,10,1,0,0,1
11,0.3,0.981,-802.0,423,0,83,3,0,0,0,1
12,0.3,0.9791,-967.0,423,0,74,27,0,1,0,1
13,0.3,0.9772,-1066.0,423,0,125,16,0,1,0,1
14,0.3,0.9753000000000001,-935.0,423,0,83,17,4,1,0,1
15,0.3,0.9734,-888.0,423,0,64,23,0,1,0,1
16,0.3,0.9715,-906.0,423,0,106,4,0,0,0,1
17,0.3,0.9696,-811.0,423,0,52,11,7,0,0,1
18,0.3,0.9677,-1000.0,423,0,89,24,0,1,0,1
19,0.3,0.9658,-669.0,423,0,46,6,0,1,0,1
20,0.3,0.9639,-804.0,423,0,63,13,1,1,0,1
21,0.3,0.962,-853.0,423,0,49,22,1,0,0,1
22,0.3,0.9601,-774.0,423,0,81,0,1,0,0,1
23,0.3,0.9582,-853.0,423,0,94,5,1,1,0,1
24,0.3,0.9563,-828.0,423,0,84,7,1,1,0,1
25,0.3,0.9544,-968.0,423,0,87,22,0,1,0,1
26,0.3,0.9525,-1030.0,423,0,101,22,0,1,0,1
27,0.3,0.9506,-922.0,423,0,81,17,2,1,0,1
28,0.3,0.9487,-775.0,423,0,74,4,0,0,0,1
29,0.3,0.9468,-744.0,423,0,64,4,0,0,0,1
30,0.3,0.9449,-883.0,423,0,83,14,0,1,0,1
31,0.3,0.9430000000000001,-862.0,423,0,62,21,0,1,0,1
32,0.3,0.9411,-979.0,423,0,54,29,8,0,0,1
33,0.3,0.9392,-943.0,423,0,71,25,0,1,0,1
34,0.3,0.9373,-777.0,423,0,64,11,0,1,0,1
35,0.3,0.9354,-779.0,423,0,75,6,0,1,0,1
36,0.3,0.9335,-929.0,423,0,104,9,1,1,0,1
37,0.3,0.9316,-888.0,423,0,84,11,1,0,0,1
38,0.3,0.9297,-783.0,423,0,57,13,1,1,0,1
39,0.3,0.9278,-693.0,423,0,44,9,2,1,0,1
40,0.3,0.9259,-729.0,423,0,66,4,1,1,0,1
41,0.3,0.924,-727.0,423,0,44,9,3,0,0,1
42,0.3,0.9221,-827.0,423,0,62,16,1,1,0,1
43,0.3,0.9202,-830.0,423,0,86,4,1,0,0,1
44,0.3,0.9183,-827.0,423,0,70,12,2,1,0,1
45,0.3,0.9164,-960.0,423,0,49,35,3,1,0,1
46,0.3,0.9145,-801.0,423,0,66,11,1,1,0,1
47,0.3,0.9126,-756.0,423,0,67,7,0,1,0,1
48,0.3,0.9107000000000001,-823.0,423,0,55,16,4,1,0,1
49,0.3,0.9088,-789.0,423,0,70,5,0,0,0,1
50,0.3,0.9069,-744.0,423,0,47,13,2,1,0,1
51,0.3,0.905,-742.0,423,0,57,5,2,0,0,1
52,0.3,0.9031,-697.0,423,0,47,9,0,1,0,1
53,0.3,0.9012,-863.0,423,0,63,17,3,1,0,1
54,0.3,0.8993,-847.0,423,0,62,19,0,1,0,1
55,0.3,0.8974,-824.0,423,0,75,11,0,1,0,1
56,0.3,0.8955,-727.0,423,0,54,8,2,1,0,1
57,0.3,0.8936,-826.0,423,0,71,13,0,1,0,1
58,0.3,0.8917,-718.0,423,0,50,9,0,1,0,1
59,0.3,0.8898,-890.0,423,0,77,14,4,1,0,1
60,0.3,0.8879,-704.0,423,0,54,5,0,0,0,1
61,0.3,0.886,-822.0,423,0,65,11,2,0,0,1
62,0.3,0.8841,-829.0,423,0,65,16,0,1,0,1
63,0.3,0.8822,-925.0,423,0,71,24,0,1,0,1
64,0.3,0.8803,-822.0,423,0,64,15,0,1,0,1
65,0.3,0.8784,-802.0,423,0,65,13,0,1,0,1
66,0.3,0.8765000000000001,-907.0,423,0,83,14,3,1,0,1
67,0.3,0.8746,-814.0,423,0,76,4,4,0,0,1
68,0.3,0.8727,-715.0,423,0,59,4,0,0,0,1
69,0.3,0.8708,-786.0,423,0,55,15,0,1,0,1
70,0.3,0.8689,-839.0,423,0,81,10,0,1,0,1
71,0.3,0.867,-679.0,423,0,35,13,0,1,0,1
72,0.3,0.8651,-450.0,313,1,49,7,0,1,1,0
73,0.3,0.8632,-709.0,423,0,62,2,0,0,0,1
74,0.3,0.8613,-658.0,423,0,53,2,0,1,0,1
75,0.3,0.8594,-708.0,423,0,58,5,0,1,0,1
76,0.3,0.8575,-829.0,423,0,65,16,0,1,0,1
77,0.3,0.8556,-772.0,423,0,60,10,2,1,0,1
78,0.3,0.8537,-734.0,423,0,63,6,0,1,0,1
79,0.3,0.8518,-782.0,423,0,50,14,1,0,0,1
80,0.3,0.8499,-671.0,423,0,48,6,0,1,0,1
81,0.3,0.848,-730.0,423,0,53,10,0,1,0,1
82,0.3,0.8461,-685.0,423,0,56,4,0,1,0,1
83,0.3,0.8442000000000001,-643.0,423,0,39,3,2,0,0,1
84,0.3,0.8423,-717.0,423,0,64,2,0,0,0,1
85,0.3,0.8404,-597.0,404,1,54,11,0,1,1,0
86,0.3,0.8385,-656.0,423,0,39,6,0,0,0,1
87,0.3,0.8366,-735.0,423,0,46,12,0,0,0,1
88,0.3,0.8347,-953.0,423,0,72,26,0,1,0,1
89,0.3,0.8328,-700.0,423,0,56,6,0,1,0,1
90,0.3,0.8309,-838.0,423,0,45,23,2,1,0,1
91,0.3,0.829,-524.0,331,1,60,8,0,1,1,0
92,0.3,0.8271,-696.0,423,0,46,10,0,1,0,1
93,0.3,0.8252,-817.0,423,0,58,15,1,0,0,1
94,0.3,0.8233,-667.0,423,0,47,6,0,1,0,1
95,0.3,0.8214,-760.0,423,0,52,13,1,1,0,1
96,0.3,0.8195,-724.0,423,0,46,12,1,1,0,1
97,0.3,0.8176,-701.0,423,0,42,12,0,1,0,1
98,0.3,0.8157,-747.0,423,0,67,5,0,1,0,1
99,0.3,0.8138,-840.0,423,0,43,26,0,1,0,1
100,0.3,0.8119000000000001,-606.0,423,0,40,2,0,1,0,1
101,0.3,0.81,-829.0,423,0,80,9,0,1,0,1
102,0.3,0.8081,-680.0,423,0,57,3,0,1,0,1
103,0.3,0.8062,-695.0,423,0,51,7,0,1,0,1
104,0.3,0.8043,-699.0,423,0,55,5,0,1,0,1
105,0.3,0.8024,-752.0,423,0,55,10,2,1,0,1
106,0.3,0.8005,-766.0,423,0,65,9,0,1,0,1
107,0.3,0.7986,-783.0,423,0,55,15,0,1,0,1
108,0.3,0.7967,-673.0,423,0,34,11,1,1,0,1
109,0.3,0.7948,-719.0,423,0,49,9,2,1,0,1
110,0.3,0.7929,-758.0,423,0,66,7,0,1,0,1
111,0.3,0.791,-771.0,423,0,55,14,0,1,0,1
112,0.3,0.7891,-558.0,423,0,28,2,0,1,0,1
113,0.3,0.7872,-712.0,423,0,44,12,0,1,0,1
114,0.3,0.7853,-711.0,423,0,61,5,0,1,0,1
115,0.3,0.7834,-639.0,423,0,43,4,0,1,0,1
116,0.3,0.7815,-724.0,423,0,55,8,1,1,0,1
117,0.3,0.7796,-779.0,423,0,54,15,0,1,0,1
118,0.3,0.7777000000000001,-655.0,423,0,47,5,0,1,0,1
119,0.3,0.7758,-178.0,207,1,15,3,0,1,1,0
120,0.3,0.7739,-661.0,423,0,38,9,0,1,0,1
121,0.3,0.772,-618.0,423,0,36,5,1,1,0,1
122,0.3,0.7701,-765.0,423,0,52,15,0,1,0,1
123,0.3,0.7682,-863.0,423,0,74,14,1,1,0,1
124,0.3,0.7663,-699.0,423,0,40,13,0,1,0,1
125,0.3,0.7644,-751.0,423,0,47,15,0,1,0,1
126,0.3,0.7625,-756.0,423,0,70,5,0,1,0,1
127,0.3,0.7605999999999999,-714.0,423,0,33,16,1,1,0,1
128,0.3,0.7587,-675.0,423,0,40,10,0,1,0,1
129,0.3,0.7568,-644.0,423,0,51,1,0,1,0,1
130,0.3,0.7549,-721.0,423,0,53,7,3,1,0,1
131,0.3,0.753,-703.0,423,0,47,10,0,1,0,1
132,0.3,0.7511,-659.0,423,0,39,9,0,1,0,1
133,0.3,0.7492,-640.0,423,0,40,2,4,1,0,1
134,0.3,0.7473000000000001,-604.0,423,0,38,3,0,1,0,1
135,0.3,0.7454000000000001,-692.0,423,0,48,8,0,1,0,1
136,0.3,0.7435,-576.0,423,0,28,4,0,1,0,1
137,0.3,0.7416,-662.0,423,0,45,6,0,1,0,1
138,0.3,0.7397,-702.0,423,0,40,13,0,1,0,1
139,0.3,0.7378,-718.0,423,0,41,14,0,1,0,1
140,0.3,0.7359,-706.0,423,0,50,9,0,1,0,1
141,0.3,0.734,-626.0,423,0,51,0,0,1,0,1
142,0.3,0.7321,-685.0,423,0,38,12,0,1,0,1
143,0.3,0.7302,-351.0,299,1,36,3,0,1,1,0
144,0.3,0.7283000000000001,-643.0,423,0,44,5,0,1,0,1
145,0.3,0.7264,-761.0,423,0,65,8,1,1,0,1
146,0.3,0.7245,-270.0,301,1,22,0,0,1,1,0
147,0.3,0.7226,-681.0,423,0,36,12,1,1,0,1
148,0.3,0.7207,-246.0,240,1,32,0,0,1,1,0
149,0.3,0.7188000000000001,-617.0,423,0,23,8,4,1,0,1
150,0.3,0.7169000000000001,-674.0,423,0,54,4,0,1,0,1
151,0.3,0.7150000000000001,-621.0,423,0,34,7,0,1,0,1
152,0.3,0.7131000000000001,-663.0,423,0,46,6,0,1,0,1
153,0.3,0.7112,-685.0,423,0,47,7,0,1,0,1
154,0.3,0.7093,-803.0,423,0,57,17,0,1,0,1
155,0.3,0.7074,-639.0,423,0,43,5,0,1,0,1
156,0.3,0.7055,-397.0,311,1,45,2,1,1,1,0
157,0.3,0.7036,-498.0,345,1,53,7,0,1,1,0
158,0.3,0.7017,-643.0,423,0,38,7,0,1,0,1
159,0.3,0.6998,-637.0,423,0,44,4,0,1,0,1
160,0.3,0.6979,-642.0,423,0,40,5,0,1,0,1
161,0.3,0.696,-414.0,309,1,43,5,1,1,1,0
162,0.3,0.6940999999999999,-275.0,273,1,25,2,0,1,1,0
163,0.3,0.6921999999999999,-700.0,423,0,62,3,0,1,0,1
164,0.3,0.6903,-645.0,423,0,37,7,0,1,0,1
165,0.3,0.6884,-703.0,423,0,56,6,0,1,0,1
166,0.3,0.6865,-639.0,423,0,37,5,3,1,0,1
167,0.3,0.6846,-610.0,423,0,38,4,0,1,0,1
168,0.3,0.6827,-644.0,423,0,47,3,1,1,0,1
169,0.3,0.6808000000000001,-777.0,423,0,70,8,0,1,0,1
170,0.3,0.6789000000000001,-695.0,423,0,27,18,0,1,0,1
171,0.3,0.677,-621.0,423,0,43,3,0,1,0,1
172,0.3,0.6751,-329.0,297,1,25,6,0,1,1,0
173,0.3,0.6732,-654.0,423,0,52,2,0,1,0,1
174,0.3,0.6713,-586.0,423,0,29,4,0,1,0,1
175,0.3,0.6694,-609.0,423,0,46,0,0,1,0,1
176,0.3,0.6675,-645.0,423,0,43,5,0,1,0,1
177,0.3,0.6656,-586.0,423,0,32,4,0,1,0,1
178,0.3,0.6637,-554.0,423,0,21,5,0,1,0,1
179,0.3,0.6618,-674.0,423,0,39,10,0,1,0,1
180,0.3,0.6599,-654.0,423,0,46,5,0,1,0,1
181,0.3,0.658,-581.0,423,0,39,0,0,1,0,1
182,0.3,0.6561,-574.0,423,0,32,2,0,1,0,1
183,0.3,0.6542,-367.0,331,1,32,3,0,1,1,0
184,0.3,0.6523000000000001,-163.0,193,1,20,1,0,1,1,0
185,0.3,0.6504000000000001,-460.0,348,1,34,8,2,1,1,0
186,0.3,0.6485000000000001,-784.0,423,0,68,10,0,1,0,1
187,0.3,0.6466000000000001,-623.0,423,0,36,6,0,1,0,1
188,0.3,0.6447,-409.0,331,1,38,5,0,1,1,0
189,0.3,0.6428,-594.0,423,0,34,4,0,1,0,1
190,0.3,0.6409,-567.0,423,0,34,1,0,1,0,1
191,0.3,0.639,-172.0,207,1,15,3,0,1,1,0
192,0.3,0.6371,-642.0,423,0,49,2,0,1,0,1
193,0.3,0.6352,-140.0,204,1,10,2,0,1,1,0
194,0.3,0.6333,-609.0,423,0,34,5,0,1,0,1
195,0.3,0.6314,-592.0,423,0,35,3,0,1,0,1
196,0.3,0.6295,-604.0,423,0,41,1,0,1,0,1
197,0.3,0.6275999999999999,-627.0,423,0,40,5,0,1,0,1
198,0.3,0.6256999999999999,-90.0,135,1,14,2,0,1,1,0
199,0.3,0.6238,-544.0,423,0,23,3,0,1,0,1
200,0.3,0.6219,-658.0,423,0,41,8,0,1,0,1
201,0.3,0.62,-573.0,423,0,28,4,0,1,0,1
202,0.3,0.6181,-676.0,423,0,47,7,0,1,0,1
203,0.3,0.6162,-639.0,423,0,31,10,0,1,0,1
204,0.3,0.6143000000000001,-651.0,423,0,37,9,0,1,0,1
205,0.3,0.6124,-678.0,423,0,55,4,0,1,0,1
206,0.3,0.6105,-453.0,369,1,26,11,0,1,1,0
207,0.3,0.6086,-554.0,409,1,45,9,0,1,1,0
208,0.3,0.6067,-533.0,423,0,21,3,0,1,0,1
209,0.3,0.6048,-279.0,275,1,21,4,0,1,1,0
210,0.3,0.6029,-635.0,423,0,36,7,0,1,0,1
211,0.3,0.601,-604.0,423,0,41,1,0,1,0,1
212,0.3,0.5991,-641.0,423,0,39,7,0,1,0,1
213,0.3,0.5972,-570.0,423,0,34,1,0,1,0,1
214,0.3,0.5953,-297.0,267,1,29,4,0,1,1,0
215,0.3,0.5934,-652.0,423,0,38,8,0,1,0,1
216,0.3,0.5915,-572.0,423,0,30,3,0,1,0,1
217,0.3,0.5896,-600.0,423,0,40,2,0,1,0,1
218,0.3,0.5877,-595.0,423,0,41,1,0,1,0,1
219,0.3,0.5858000000000001,-618.0,423,0,22,12,0,1,0,1
220,0.3,0.5839000000000001,-576.0,423,0,31,3,0,1,0,1
221,0.3,0.5820000000000001,-522.0,371,1,39,13,0,1,1,0
222,0.3,0.5801000000000001,-709.0,423,0,44,12,0,1,0,1
223,0.3,0.5782,-592.0,423,0,22,8,1,1,0,1
224,0.3,0.5763,-625.0,423,0,38,5,0,1,0,1
225,0.3,0.5744,-622.0,423,0,32,7,0,1,0,1
226,0.3,0.5725,-647.0,423,0,45,5,0,1,0,1
227,0.3,0.5706,-649.0,423,0,34,9,1,1,0,1
228,0.3,0.5687,-247.0,269,1,22,1,0,1,1,0
229,0.3,0.5668,-78.0,126,1,11,3,0,1,1,0
230,0.3,0.5649,-610.0,423,0,31,6,1,1,0,1
231,0.3,0.563,-42.0,132,1,8,0,0,1,1,0
232,0.3,0.5610999999999999,-567.0,423,0,19,7,0,1,0,1
233,0.3,0.5591999999999999,-640.0,423,0,29,11,0,1,0,1
234,0.3,0.5573,-208.0,242,1,22,0,0,1,1,0
235,0.3,0.5554,-288.0,239,1,27,7,0,1,1,0
236,0.3,0.5535000000000001,-61.0,137,1,7,2,0,1,1,0
237,0.3,0.5516000000000001,-405.0,360,1,20,9,0,1,1,0
238,0.3,0.5497000000000001,-462.0,365,1,30,10,0,1,1,0
239,0.3,0.5478000000000001,-329.0,330,1,28,1,0,1,1,0
240,0.3,0.5459,-341.0,337,1,27,2,0,1,1,0
241,0.3,0.544,-352.0,261,1,51,1,0,1,1,0
242,0.3,0.5421,-629.0,423,0,42,4,0,1,0,1
243,0.3,0.5402,-250.0,242,1,22,4,0,1,1,0
244,0.3,0.5383,-266.0,263,1,26,2,0,1,1,0
245,0.3,0.5364,-300.0,278,1,33,1,0,1,1,0
246,0.3,0.5345,-400.0,324,1,36,6,0,1,1,0
247,0.3,0.5326,-716.0,423,0,69,2,0,1,0,1
248,0.3,0.5307,-414.0,370,1,28,6,0,1,1,0
249,0.3,0.5288,-382.0,277,1,41,7,0,1,1,0
250,0.3,0.5269,-555.0,423,0,31,1,0,1,0,1
251,0.3,0.525,-217.0,253,1,17,2,0,1,1,0
252,0.3,0.5231,-508.0,411,1,36,8,0,1,1,0
253,0.3,0.5212,-571.0,423,0,32,2,0,1,0,1
254,0.3,0.5193000000000001,-531.0,423,0,25,1,0,1,0,1
255,0.3,0.5174000000000001,-512.0,403,1,48,4,0,1,1,0
256,0.3,0.5155000000000001,-622.0,423,0,47,1,0,1,0,1
257,0.3,0.5136000000000001,-17.0,87,1,13,0,0,1,1,0
258,0.3,0.5117,-412.0,370,1,32,4,0,1,1,0
259,0.3,0.5098,-135.0,187,1,10,3,0,1,1,0
260,0.3,0.5079,-107.0,167,1,11,2,0,1,1,0
261,0.3,0.506,-272.0,283,1,21,3,0,1,1,0
262,0.3,0.5041,-49.0,95,1,16,1,0,1,1,0
263,0.3,0.5022,-328.0,305,1,22,6,0,1,1,0
264,0.3,0.5003,-235.0,230,1,25,2,0,1,1,0
265,0.3,0.49839999999999995,-572.0,423,0,24,6,0,1,0,1
266,0.3,0.49650000000000005,-575.0,423,0,30,3,0,1,0,1
267,0.3,0.49460000000000004,-570.0,423,0,28,4,0,1,0,1
268,0.3,0.4927,-246.0,221,1,21,7,0,1,1,0
269,0.3,0.4908,-400.0,365,1,34,2,0,1,1,0
270,0.3,0.4889,-16.0,96,1,6,2,0,1,1,0
271,0.3,0.487,-162.0,194,1,15,3,0,1,1,0
272,0.3,0.4851,-552.0,423,0,19,6,0,1,0,1
273,0.3,0.48319999999999996,-418.0,303,1,36,10,0,1,1,0
274,0.3,0.48129999999999995,-132.0,209,1,9,1,0,1,1,0
275,0.3,0.47939999999999994,-561.0,423,0,28,3,0,1,0,1
276,0.3,0.47750000000000004,-394.0,355,1,23,7,0,1,1,0
277,0.3,0.4756,-543.0,423,0,25,2,0,1,0,1
278,0.3,0.4737,-76.0,151,1,5,3,0,1,1,0
279,0.3,0.4718,-244.0,279,1,9,5,0,1,1,0
280,0.3,0.4699,-576.0,423,0,31,3,0,1,0,1
281,0.3,0.46799999999999997,-561.0,423,0,28,3,0,1,0,1
282,0.3,0.46609999999999996,-603.0,423,0,28,7,0,1,0,1
283,0.3,0.46420000000000006,-281.0,277,1,27,2,0,1,1,0
284,0.3,0.46230000000000004,-562.0,423,0,29,2,0,1,0,1
285,0.3,0.46040000000000003,-171.0,194,1,18,3,0,1,1,0
286,0.3,0.4585,-127.0,171,1,15,2,0,1,1,0
287,0.3,0.4566000000000001,-178.0,231,1,15,1,0,1,1,0
288,0.3,0.4547000000000001,-275.0,257,1,35,0,0,1,1,0
289,0.3,0.4528000000000001,-131.0,175,1,15,2,0,1,1,0
290,0.3,0.4509000000000001,-376.0,378,1,30,0,0,1,1,0
291,0.3,0.44900000000000007,-169.0,218,1,16,1,0,1,1,0
292,0.3,0.44710000000000005,-61.0,139,1,11,0,0,1,1,0
293,0.3,0.44520000000000004,-90.0,151,1,13,1,0,1,1,0
294,0.3,0.4433,-610.0,423,0,35,5,0,1,0,1
