algorithm,reward_mode,seed,episodes,evaluation_episodes,alpha,gamma,lambda,training_seconds,first_100_success_rate,last_100_success_rate,first_100_average_reward,last_100_average_reward,first_100_average_steps,last_100_average_steps,episodes_to_80_percent_success,episodes_to_95_percent_success,evaluation_success_rate,evaluation_average_reward,evaluation_average_steps,history_path,model_path
q_learning,sparse,8,600,100,0.1,0.95,,0.8081390988081694,3.0,100.0,-820.39,40.95,422.01,67.09,389,436,100.0,47.55,63.25,results\raw_data\reward_comparison_q_learning_sparse_seed_8_training.csv,results\models\reward_comparison_q_learning_sparse_seed_8.json
q_learning,sparse,18,600,100,0.1,0.95,,0.845610000193119,5.0,100.0,-807.48,44.1,420.37,64.05,370,418,99.0,40.33,68.85,results\raw_data\reward_comparison_q_learning_sparse_seed_18_training.csv,results\models\reward_comparison_q_learning_sparse_seed_18.json
q_learning,sparse,28,600,100,0.1,0.95,,0.8356678988784552,3.0,100.0,-822.36,39.13,419.79,66.59,382,459,97.0,39.01,64.27,results\raw_data\reward_comparison_q_learning_sparse_seed_28_training.csv,results\models\reward_comparison_q_learning_sparse_seed_28.json
q_learning,shaped,8,600,100,0.1,0.95,,0.9322621002793312,7.000000000000001,100.0,-864.5732000000006,27.216199999999986,416.09,66.5,324,399,100.0,-2.274699999999899,86.73,results\raw_data\reward_comparison_q_learning_shaped_seed_8_training.csv,results\models\reward_comparison_q_learning_shaped_seed_8.json
q_learning,shaped,18,600,100,0.1,0.95,,0.8193255998194218,4.0,100.0,-869.3449000000007,38.06219999999998,418.4,59.54,317,433,100.0,34.78680000000018,65.31,results\raw_data\reward_comparison_q_learning_shaped_seed_18_training.csv,results\models\reward_comparison_q_learning_shaped_seed_18.json
q_learning,shaped,28,600,100,0.1,0.95,,0.8311061002314091,3.0,100.0,-890.7203000000005,30.409399999999987,421.51,65.13,356,401,100.0,10.571600000000199,79.26,results\raw_data\reward_comparison_q_learning_shaped_seed_28_training.csv,results\models\reward_comparison_q_learning_shaped_seed_28.json
sarsa_lambda_0_3,sparse,8,600,100,0.1,0.95,0.3,1.5297910012304783,2.0,100.0,-804.74,48.75,422.72,59.81,330,444,100.0,55.5,55.84,results\raw_data\reward_comparison_sarsa_lambda_0_3_sparse_seed_8_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_sparse_seed_8.json
sarsa_lambda_0_3,sparse,18,600,100,0.1,0.95,0.3,1.583466200158,2.0,100.0,-783.83,51.8,422.27,58.46,402,465,100.0,55.81,54.44,results\raw_data\reward_comparison_sarsa_lambda_0_3_sparse_seed_18_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_sparse_seed_18.json
sarsa_lambda_0_3,sparse,28,600,100,0.1,0.95,0.3,1.5576472003012896,3.0,100.0,-800.11,49.35,420.79,61.05,332,465,100.0,61.07,52.22,results\raw_data\reward_comparison_sarsa_lambda_0_3_sparse_seed_28_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_sparse_seed_28.json
sarsa_lambda_0_3,shaped,8,600,100,0.1,0.95,0.3,1.519114200025797,4.0,100.0,-869.0206000000007,49.886999999999986,418.43,53.5,331,373,100.0,56.05789999999993,49.58,results\raw_data\reward_comparison_sarsa_lambda_0_3_shaped_seed_8_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_shaped_seed_8.json
sarsa_lambda_0_3,shaped,18,600,100,0.1,0.95,0.3,1.5183862000703812,6.0,100.0,-859.0966000000008,47.628899999999994,415.74,54.67,323,374,100.0,53.69199999999994,50.91,results\raw_data\reward_comparison_sarsa_lambda_0_3_shaped_seed_18_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_shaped_seed_18.json
sarsa_lambda_0_3,shaped,28,600,100,0.1,0.95,0.3,1.5197791010141373,1.0,100.0,-886.0172000000006,46.05209999999999,422.33,57.04,357,414,100.0,49.61809999999998,54.41,results\raw_data\reward_comparison_sarsa_lambda_0_3_shaped_seed_28_training.csv,results\models\reward_comparison_sarsa_lambda_0_3_shaped_seed_28.json
