episode,lambda,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,0.0,1.0,-964.0000000000003,423,0,84,15,0,1,0,1
2,0.0,0.9981,-1018.6699999999981,423,0,71,18,6,0,0,1
3,0.0,0.9962,-991.3999999999984,423,0,62,18,9,1,0,1
4,0.0,0.9943,-950.5700000000023,423,0,59,20,4,1,0,1
5,0.0,0.9924,-880.6300000000005,423,0,69,6,4,0,0,1
6,0.0,0.9905,-917.5100000000019,423,0,78,12,0,1,0,1
7,0.0,0.9886,-940.7999999999996,423,0,83,5,5,0,0,1
8,0.0,0.9867,-926.2000000000004,423,0,69,15,3,1,0,1
9,0.0,0.9848,-988.7800000000025,423,0,75,21,1,1,0,1
10,0.0,0.9829,-909.5099999999989,423,0,81,6,0,0,0,1
11,0.0,0.981,-1008.1700000000026,423,0,83,20,0,1,0,1
12,0.0,0.9791,-888.1300000000015,423,0,89,2,0,0,0,1
13,0.0,0.9772,-943.9200000000008,423,0,88,10,0,1,0,1
14,0.0,0.9753000000000001,-861.3000000000001,423,0,66,11,0,1,0,1
15,0.0,0.9734,-911.4199999999969,423,0,84,11,0,1,0,1
16,0.0,0.9715,-1009.5200000000009,423,0,76,19,0,0,0,1
17,0.0,0.9696,-1204.0800000000033,423,0,110,29,0,1,0,1
18,0.0,0.9677,-923.780000000002,423,0,86,4,4,0,0,1
19,0.0,0.9658,-1084.0900000000017,423,0,76,32,0,1,0,1
20,0.0,0.9639,-860.7500000000028,423,0,61,13,1,1,0,1
21,0.0,0.962,-912.6299999999984,423,0,57,21,0,1,0,1
22,0.0,0.9601,-981.4600000000016,423,0,93,12,0,1,0,1
23,0.0,0.9582,-836.3300000000011,423,0,66,8,0,1,0,1
24,0.0,0.9563,-997.9700000000034,423,0,108,7,0,1,0,1
25,0.0,0.9544,-907.8500000000008,423,0,70,14,0,1,0,1
26,0.0,0.9525,-954.4500000000018,423,0,83,13,0,1,0,1
27,0.0,0.9506,-824.61,423,0,56,7,0,0,0,1
28,0.0,0.9487,-938.3700000000009,423,0,64,19,0,1,0,1
29,0.0,0.9468,-1000.62,423,0,76,21,0,1,0,1
30,0.0,0.9449,-1045.8000000000018,423,0,106,13,0,1,0,1
31,0.0,0.9430000000000001,-921.8299999999997,423,0,60,18,2,1,0,1
32,0.0,0.9411,-988.270000000003,423,0,80,19,1,1,0,1
33,0.0,0.9392,-937.1000000000018,423,0,91,9,0,1,0,1
34,0.0,0.9373,-869.7899999999986,423,0,69,7,0,0,0,1
35,0.0,0.9354,-873.3100000000002,423,0,76,6,1,1,0,1
36,0.0,0.9335,-851.4000000000013,423,0,81,4,0,1,0,1
37,0.0,0.9316,-911.7800000000005,423,0,62,18,0,1,0,1
38,0.0,0.9297,-943.3999999999993,423,0,100,2,0,0,0,1
39,0.0,0.9278,-785.010000000001,423,0,46,10,1,1,0,1
40,0.0,0.9259,-839.4499999999998,423,0,53,10,0,0,0,1
41,0.0,0.924,-801.9900000000015,423,0,59,5,0,0,0,1
42,0.0,0.9221,-1206.2700000000023,423,0,92,35,3,1,0,1
43,0.0,0.9202,-991.5400000000001,423,0,81,17,1,1,0,1
44,0.0,0.9183,-844.970000000001,423,0,59,13,0,1,0,1
45,0.0,0.9164,-929.9300000000032,423,0,69,17,0,1,0,1
46,0.0,0.9145,-818.4500000000019,423,0,76,0,0,0,0,1
47,0.0,0.9126,-872.2500000000003,423,0,66,9,0,0,0,1
48,0.0,0.9107000000000001,-928.0899999999987,423,0,96,6,0,1,0,1
49,0.0,0.9088,-911.9100000000004,423,0,82,9,0,1,0,1
50,0.0,0.9069,-1054.6100000000022,423,0,79,25,0,1,0,1
51,0.0,0.905,-930.8500000000015,423,0,63,18,2,1,0,1
