episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-887.1100000000022,423,0,90,3,0,1,0,1
4,0.9905,-759.3399999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1212.2300000000023,423,0,86,37,1,0,0,1
6,0.9841666666666666,-1127.2100000000041,423,0,115,16,1,0,0,1
7,0.981,-884.7100000000017,423,0,82,5,0,0,0,1
8,0.9778333333333333,-1084.370000000002,423,0,130,7,0,1,0,1
9,0.9746666666666667,-1308.0300000000025,423,0,82,47,7,0,0,1
10,0.9715,-892.2400000000027,423,0,78,3,4,0,0,1
11,0.9683333333333334,-410.1000000000003,286,1,41,3,0,1,1,0
12,0.9651666666666666,-917.6200000000002,423,0,86,0,7,0,0,1
13,0.962,-1283.479999999999,423,0,101,40,1,0,0,1
14,0.9588333333333333,-1000.4900000000024,423,0,81,20,0,1,0,1
15,0.9556666666666667,-804.4000000000002,423,0,76,0,0,1,0,1
16,0.9525,-922.5200000000009,423,0,99,1,0,0,0,1
17,0.9493333333333334,-932.3600000000035,423,0,97,4,0,0,0,1
18,0.9461666666666667,-1070.070000000003,423,0,92,23,0,1,0,1
19,0.9430000000000001,-971.5300000000002,423,0,112,1,0,0,0,1
20,0.9398333333333333,-891.1899999999981,423,0,89,1,1,0,0,1
21,0.9366666666666666,-1105.5900000000013,423,0,82,31,0,1,0,1
22,0.9335,-814.2700000000012,423,0,77,1,0,1,0,1
23,0.9303333333333333,-898.3700000000006,423,0,80,6,3,1,0,1
24,0.9271666666666667,-1001.529999999999,423,0,75,22,0,0,0,1
25,0.924,-1228.3000000000004,423,0,107,33,0,0,0,1
26,0.9208333333333334,-1213.530000000001,423,0,98,31,5,0,0,1
27,0.9176666666666666,-1032.2200000000003,423,0,65,30,0,1,0,1
28,0.9145,-749.7599999999999,423,0,61,1,0,1,0,1
29,0.9113333333333333,-1273.180000000001,423,0,76,48,3,0,0,1
30,0.9081666666666667,-1094.810000000001,423,0,71,30,4,0,0,1
31,0.905,-1140.8399999999979,423,0,110,22,0,1,0,1
32,0.9018333333333334,-1178.2399999999977,423,0,80,40,0,0,0,1
33,0.8986666666666667,-623.07,328,1,67,10,0,1,1,0
34,0.8955,-653.869999999999,307,1,69,14,1,1,1,0
35,0.8923333333333333,-895.8600000000008,423,0,90,2,2,1,0,1
36,0.8891666666666667,-734.9699999999996,401,1,95,0,0,1,1,0
37,0.886,-927.0099999999992,423,0,97,0,2,0,0,1
38,0.8828333333333334,-908.2900000000005,423,0,85,8,0,1,0,1
39,0.8796666666666667,-563.5199999999998,386,1,58,0,0,1,1,0
40,0.8765000000000001,-596.4499999999999,369,1,71,0,0,1,1,0
41,0.8733333333333333,-932.6399999999998,423,0,77,15,0,1,0,1
42,0.8701666666666666,-1096.550000000003,423,0,96,20,2,0,0,1
43,0.867,-873.6800000000007,423,0,91,1,0,1,0,1
44,0.8638333333333333,-134.87,130,1,26,0,0,1,1,0
45,0.8606666666666667,-997.7899999999971,423,0,100,7,2,0,0,1
46,0.8575,-829.8500000000001,423,0,64,8,0,1,0,1
47,0.8543333333333334,-625.8699999999997,407,1,63,0,2,1,1,0
48,0.8511666666666666,-523.1,362,1,50,2,0,1,1,0
49,0.848,-276.78,167,1,41,4,0,1,1,0
50,0.8448333333333333,-437.17000000000013,325,1,39,0,2,1,1,0
51,0.8416666666666667,-1131.9099999999996,423,0,99,25,0,0,0,1
52,0.8385,-991.640000000002,423,0,79,19,0,0,0,1
53,0.8353333333333334,-838.9699999999996,386,1,102,10,0,1,1,0
54,0.8321666666666667,-210.26999999999992,147,1,28,5,0,1,1,0
55,0.829,-325.42000000000013,198,1,48,2,0,1,1,0
56,0.8258333333333334,-1053.9300000000007,423,0,91,19,1,0,0,1
57,0.8226666666666667,-360.98999999999984,203,1,47,6,0,1,1,0
58,0.8195,-195.27999999999992,162,1,32,0,0,1,1,0
59,0.8163333333333334,-564.759999999999,342,1,66,2,0,1,1,0
60,0.8131666666666667,-1138.449999999997,423,0,61,44,0,0,0,1
61,0.81,-121.05000000000003,151,1,15,0,0,1,1,0
62,0.8068333333333333,-321.2799999999999,252,1,32,0,2,1,1,0
63,0.8036666666666666,-285.0300000000001,190,1,38,3,0,1,1,0
64,0.8005,-960.1499999999991,423,0,85,13,0,1,0,1
65,0.7973333333333333,-22.92000000000003,90,1,10,0,0,1,1,0
66,0.7941666666666667,-153.02999999999997,152,1,24,0,0,1,1,0
67,0.791,-212.55999999999983,165,1,35,0,0,1,1,0
68,0.7878333333333334,-897.4599999999983,423,0,70,10,0,0,0,1
69,0.7846666666666666,-435.98999999999984,292,1,51,0,1,1,1,0
70,0.7815,-816.3099999999995,423,0,77,4,0,1,0,1
71,0.7783333333333333,-982.5500000000001,423,0,67,24,0,0,0,1
72,0.7751666666666667,-397.5099999999999,285,1,43,1,0,1,1,0
73,0.772,-926.0400000000006,423,0,50,25,0,0,0,1
74,0.7688333333333334,-311.02000000000015,222,1,42,0,0,1,1,0
75,0.7656666666666667,25.11,53,1,9,0,0,1,1,0
76,0.7625,-790.6000000000009,423,1,83,9,1,1,1,0
77,0.7593333333333333,-91.96000000000005,117,1,19,0,0,1,1,0
78,0.7561666666666667,-328.4900000000002,230,1,36,4,0,1,1,0
79,0.753,-354.61999999999955,242,1,48,0,0,1,1,0
80,0.7498333333333334,-24.850000000000023,78,1,14,0,0,1,1,0
81,0.7466666666666667,-132.82999999999987,149,1,18,0,1,1,1,0
82,0.7435,-269.8699999999996,216,1,34,0,0,1,1,0
83,0.7403333333333333,-284.14,160,1,30,11,0,1,1,0
84,0.7371666666666667,-50.74999999999996,106,1,12,0,0,1,1,0
85,0.734,-128.49999999999994,129,1,25,0,0,1,1,0
86,0.7308333333333333,-46.15000000000002,79,1,19,0,0,1,1,0
87,0.7276666666666667,-153.57000000000005,150,1,22,1,0,1,1,0
88,0.7245,-303.0999999999994,200,1,38,4,0,1,1,0
89,0.7213333333333334,-228.87999999999988,191,1,27,2,0,1,1,0
90,0.7181666666666666,-175.4099999999998,178,1,22,0,0,1,1,0
91,0.7150000000000001,-298.53999999999974,218,1,40,0,0,1,1,0
92,0.7118333333333333,-87.66000000000001,113,1,19,0,0,1,1,0
93,0.7086666666666668,-90.89000000000006,117,1,19,0,0,1,1,0
94,0.7055,-132.83999999999992,157,1,17,0,0,1,1,0
95,0.7023333333333333,-46.5300000000001,104,1,12,0,0,1,1,0
96,0.6991666666666667,-61.930000000000135,131,1,7,0,0,1,1,0
97,0.696,-97.79999999999994,137,1,15,0,0,1,1,0
98,0.6928333333333334,-201.27999999999992,175,1,29,0,0,1,1,0
99,0.6896666666666667,-95.40999999999998,122,1,18,0,0,1,1,0
100,0.6865,6.749999999999929,67,1,9,0,0,1,1,0
101,0.6833333333333333,-71.64000000000003,104,1,18,0,0,1,1,0
102,0.6801666666666667,-110.11999999999999,150,1,14,0,0,1,1,0
103,0.677,-87.19999999999992,118,1,18,0,0,1,1,0
104,0.6738333333333333,-232.4199999999999,207,1,27,0,0,1,1,0
105,0.6706666666666667,-591.8199999999994,379,1,65,0,0,1,1,0
106,0.6675,-89.12000000000002,132,1,14,0,0,1,1,0
107,0.6643333333333333,-63.770000000000024,101,1,17,0,0,1,1,0
108,0.6611666666666667,-137.93,141,1,23,0,0,1,1,0
109,0.658,-92.33000000000003,125,1,17,0,0,1,1,0
110,0.6548333333333334,-149.77999999999992,139,1,27,0,0,1,1,0
111,0.6516666666666667,-39.45000000000003,70,1,20,0,0,1,1,0
112,0.6485000000000001,-106.22999999999989,133,1,17,0,0,1,1,0
113,0.6453333333333333,-32.64000000000006,98,1,10,0,0,1,1,0
114,0.6421666666666668,-120.96000000000005,136,1,20,0,0,1,1,0
115,0.639,-134.63,142,1,22,0,0,1,1,0
116,0.6358333333333333,20.33,57,1,9,0,0,1,1,0
117,0.6326666666666667,-119.02,132,1,22,0,0,1,1,0
118,0.6295,5.949999999999974,49,1,15,0,0,1,1,0
119,0.6263333333333334,-29.22000000000004,85,1,13,0,0,1,1,0
120,0.6231666666666666,-153.51,157,1,23,0,0,1,1,0
