episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-887.1100000000022,423,0,90,3,0,1,0,1
4,0.9905,-759.3399999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1141.4100000000037,423,0,89,28,1,0,0,1
6,0.9841666666666666,-1127.330000000004,423,0,115,16,1,0,0,1
7,0.981,-900.050000000002,423,0,86,5,0,0,0,1
8,0.9778333333333333,-1084.370000000002,423,0,130,7,0,1,0,1
9,0.9746666666666667,-1320.2700000000027,423,0,75,49,10,0,0,1
10,0.9715,-892.2400000000027,423,0,78,3,4,0,0,1
11,0.9683333333333334,-395.59000000000043,286,1,42,1,0,1,1,0
12,0.9651666666666666,-1026.9700000000014,423,0,108,0,10,0,0,1
13,0.962,-1198.8399999999995,423,0,93,35,1,0,0,1
14,0.9588333333333333,-1000.4300000000025,423,0,81,20,0,1,0,1
15,0.9556666666666667,-804.2200000000001,423,0,76,0,0,1,0,1
16,0.9525,-1118.7700000000013,423,0,88,26,1,0,0,1
17,0.9493333333333334,-936.4400000000046,423,0,77,13,0,0,0,1
18,0.9461666666666667,-896.9400000000016,423,0,63,15,0,0,0,1
19,0.9430000000000001,-937.6999999999992,423,0,97,1,3,0,0,1
20,0.9398333333333333,-978.5600000000005,423,0,89,12,0,0,0,1
21,0.9366666666666666,-1150.6999999999987,423,0,74,37,0,0,0,1
22,0.9335,-1126.0300000000022,423,0,97,24,0,0,0,1
23,0.9303333333333333,-925.5800000000008,423,0,63,17,0,0,0,1
24,0.9271666666666667,-864.9300000000023,423,0,65,10,0,0,0,1
25,0.924,-878.659999999998,423,0,80,3,0,0,0,1
26,0.9208333333333334,-1053.2600000000045,423,0,75,24,3,0,0,1
27,0.9176666666666666,-955.4999999999998,423,0,83,11,1,0,0,1
28,0.9145,-1047.6400000000015,423,0,90,20,0,0,0,1
29,0.9113333333333333,-1036.9600000000012,423,0,65,25,4,0,0,1
30,0.9081666666666667,-863.9099999999999,423,0,75,5,3,1,0,1
31,0.905,-834.5400000000024,423,0,56,9,3,0,0,1
32,0.9018333333333334,-1095.290000000002,423,0,108,17,0,0,0,1
33,0.8986666666666667,-936.6000000000004,423,0,99,2,0,0,0,1
34,0.8955,-959.589999999998,423,0,91,13,0,1,0,1
35,0.8923333333333333,-1001.7300000000004,423,0,100,9,2,1,0,1
36,0.8891666666666667,-1119.850000000003,423,0,97,22,2,0,0,1
37,0.886,-717.919999999998,397,1,85,3,0,1,1,0
38,0.8828333333333334,-853.2200000000025,423,0,65,9,0,0,0,1
39,0.8796666666666667,-871.3699999999983,423,0,71,7,0,0,0,1
40,0.8765000000000001,-1076.9200000000014,423,0,73,30,0,0,0,1
41,0.8733333333333333,-764.5299999999999,423,0,56,4,0,1,0,1
42,0.8701666666666666,-590.09,326,1,72,4,0,1,1,0
43,0.867,-648.3499999999999,351,1,78,4,1,1,1,0
44,0.8638333333333333,-833.4200000000012,423,0,80,0,0,0,0,1
45,0.8606666666666667,-962.0699999999995,423,0,73,15,4,1,0,1
46,0.8575,-924.4800000000023,423,0,98,1,0,0,0,1
47,0.8543333333333334,-997.7400000000032,423,0,86,15,0,0,0,1
48,0.8511666666666666,-867.3400000000005,423,0,86,2,0,1,0,1
49,0.848,-908.5800000000023,423,0,73,13,0,1,0,1
50,0.8448333333333333,-818.59,423,0,61,8,0,1,0,1
51,0.8416666666666667,-769.5900000000004,404,1,92,5,0,1,1,0
52,0.8385,-212.11999999999978,147,1,33,3,0,1,1,0
53,0.8353333333333334,-269.3999999999998,181,1,38,2,1,1,1,0
54,0.8321666666666667,-239.10999999999956,151,1,41,2,0,1,1,0
55,0.829,-169.7899999999999,167,1,23,0,0,1,1,0
56,0.8258333333333334,-750.1999999999983,423,0,63,0,0,1,0,1
57,0.8226666666666667,-607.0800000000019,379,1,56,7,0,1,1,0
58,0.8195,-1071.4800000000014,423,0,96,19,0,0,0,1
59,0.8163333333333334,-103.6300000000001,125,1,19,0,0,1,1,0
60,0.8131666666666667,-62.23000000000003,102,1,16,0,0,1,1,0
61,0.81,-400.4199999999999,276,1,48,1,0,1,1,0
62,0.8068333333333333,-1019.0400000000018,423,0,84,19,1,1,0,1
63,0.8036666666666666,-262.46999999999997,212,1,34,0,0,1,1,0
64,0.8005,-929.8800000000027,423,0,66,16,0,0,0,1
65,0.7973333333333333,-1204.3100000000024,423,0,86,38,1,0,0,1
66,0.7941666666666667,-562.9300000000003,359,1,57,4,0,1,1,0
67,0.791,-880.4799999999972,423,0,84,3,0,0,0,1
68,0.7878333333333334,-303.40999999999997,218,1,38,0,2,1,1,0
69,0.7846666666666666,-836.0299999999997,423,0,71,5,0,1,0,1
70,0.7815,-962.2300000000009,423,0,60,25,0,1,0,1
71,0.7783333333333333,-438.0800000000003,289,1,55,0,0,1,1,0
72,0.7751666666666667,-979.9200000000008,423,0,80,18,0,1,0,1
73,0.772,-281.6799999999997,180,1,48,0,0,1,1,0
74,0.7688333333333334,-254.62000000000006,166,1,33,0,7,1,1,0
75,0.7656666666666667,-901.6299999999993,423,0,74,11,1,1,0,1
76,0.7625,-951.3200000000032,423,0,59,19,4,0,0,1
77,0.7593333333333333,-206.97000000000003,164,1,34,0,0,1,1,0
78,0.7561666666666667,-350.00999999999976,204,1,46,5,0,1,1,0
79,0.753,-253.40000000000032,228,1,26,0,0,1,1,0
80,0.7498333333333334,-75.92000000000009,111,1,17,0,0,1,1,0
81,0.7466666666666667,-213.37000000000006,168,1,32,1,0,1,1,0
82,0.7435,-242.61999999999983,217,1,27,0,0,1,1,0
83,0.7403333333333333,-312.1199999999999,240,1,38,0,0,1,1,0
84,0.7371666666666667,-465.48000000000064,277,1,61,2,0,1,1,0
85,0.734,-202.0999999999998,160,1,34,0,0,1,1,0
86,0.7308333333333333,-289.38,198,1,44,0,0,1,1,0
87,0.7276666666666667,-297.0100000000001,208,1,38,2,0,1,1,0
88,0.7245,-129.79000000000008,140,1,22,0,0,1,1,0
89,0.7213333333333334,-1006.9399999999994,423,0,61,29,0,0,0,1
90,0.7181666666666666,-147.37999999999988,152,1,21,0,1,1,1,0
91,0.7150000000000001,-430.7599999999997,291,1,53,0,0,1,1,0
92,0.7118333333333333,-100.78000000000004,145,1,13,0,0,1,1,0
93,0.7086666666666668,-330.3199999999999,255,1,31,3,0,1,1,0
94,0.7055,-78.33999999999996,133,1,11,0,0,1,1,0
95,0.7023333333333333,-183.08999999999997,148,1,28,2,0,1,1,0
96,0.6991666666666667,21.150000000000006,46,1,12,0,0,1,1,0
97,0.696,-188.54999999999995,153,1,33,0,0,1,1,0
98,0.6928333333333334,-199.5299999999998,192,1,21,0,1,1,1,0
99,0.6896666666666667,-57.59000000000002,112,1,12,0,0,1,1,0
100,0.6865,-243.28999999999968,199,1,33,0,0,1,1,0
101,0.6833333333333333,-45.209999999999994,65,1,23,0,0,1,1,0
102,0.6801666666666667,-429.94,281,1,41,6,0,1,1,0
103,0.677,-168.07,153,1,25,1,0,1,1,0
104,0.6738333333333333,-218.22999999999985,205,1,25,0,0,1,1,0
105,0.6706666666666667,-171.82999999999987,149,1,27,1,0,1,1,0
106,0.6675,-825.9300000000002,423,1,52,27,1,1,1,0
107,0.6643333333333333,-239.3399999999998,186,1,36,0,0,1,1,0
108,0.6611666666666667,33.95000000000003,59,1,5,0,0,1,1,0
109,0.658,-24.22999999999999,78,1,14,0,0,1,1,0
110,0.6548333333333334,-124.24000000000005,140,1,20,0,0,1,1,0
111,0.6516666666666667,-211.94,187,1,25,0,2,1,1,0
112,0.6485000000000001,-660.7000000000007,351,1,69,10,0,1,1,0
113,0.6453333333333333,-1.5699999999999932,78,1,8,0,0,1,1,0
114,0.6421666666666668,-66.25999999999995,120,1,12,0,0,1,1,0
115,0.639,-131.04999999999995,132,1,24,0,0,1,1,0
116,0.6358333333333333,-22.200000000000003,93,1,9,0,0,1,1,0
117,0.6326666666666667,-139.62,156,1,20,0,0,1,1,0
118,0.6295,-972.7899999999978,423,0,61,26,0,0,0,1
119,0.6263333333333334,-92.12000000000002,134,1,12,1,0,1,1,0
