episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-796.9200000000013,422,1,98,3,0,1,1,0
4,0.9905,-759.0799999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1140.5100000000036,423,0,91,27,1,0,0,1
6,0.9841666666666666,-949.2100000000037,423,0,98,5,0,0,0,1
7,0.981,-990.7600000000018,423,0,104,7,0,0,0,1
8,0.9778333333333333,-965.4900000000009,423,0,112,2,0,1,0,1
9,0.9746666666666667,-1320.2200000000025,423,0,75,49,10,0,0,1
10,0.9715,-1038.62,423,0,98,9,6,0,0,1
11,0.9683333333333334,-596.0899999999992,370,1,67,1,0,1,1,0
12,0.9651666666666666,-904.140000000002,423,0,92,3,0,0,0,1
13,0.962,-1295.4400000000005,423,0,106,42,0,0,0,1
14,0.9588333333333333,-1120.9800000000014,423,0,76,33,0,0,0,1
15,0.9556666666666667,-1204.1000000000035,423,0,107,25,4,0,0,1
16,0.9525,-825.3300000000028,423,0,69,4,0,0,0,1
17,0.9493333333333334,-874.2900000000013,423,0,77,6,0,0,0,1
18,0.9461666666666667,-1343.920000000003,423,0,109,43,0,0,0,1
19,0.9430000000000001,-970.3700000000008,423,0,85,9,5,0,0,1
20,0.9398333333333333,-968.2999999999997,423,0,91,10,0,0,0,1
21,0.9366666666666666,-797.8300000000004,423,0,71,2,0,1,0,1
22,0.9335,-1100.5900000000001,423,0,86,26,0,0,0,1
23,0.9303333333333333,-809.2400000000019,423,0,75,0,0,0,0,1
24,0.9271666666666667,-806.3399999999999,423,0,65,3,0,0,0,1
25,0.924,-1069.2299999999984,423,0,113,13,0,1,0,1
26,0.9208333333333334,-981.010000000003,423,0,74,18,0,0,0,1
27,0.9176666666666666,-864.0300000000015,423,0,69,8,0,0,0,1
28,0.9145,-1065.8700000000028,423,0,100,17,0,0,0,1
29,0.9113333333333333,-980.869999999998,423,0,97,1,8,0,0,1
30,0.9081666666666667,-912.9000000000013,423,0,97,1,0,0,0,1
31,0.905,-787.8000000000021,423,0,66,1,0,0,0,1
32,0.9018333333333334,-1054.9199999999998,423,0,90,21,0,0,0,1
33,0.8986666666666667,-384.8299999999991,218,1,59,1,0,1,1,0
34,0.8955,-1160.9800000000025,423,0,139,9,1,0,0,1
35,0.8923333333333333,-1116.4600000000016,423,0,107,18,2,0,0,1
36,0.8891666666666667,-1078.5400000000018,423,0,78,25,4,0,0,1
37,0.886,-1031.5700000000006,423,0,103,14,0,1,0,1
38,0.8828333333333334,-766.0600000000044,423,0,59,2,0,0,0,1
39,0.8796666666666667,-1046.1100000000008,423,0,107,9,2,0,0,1
40,0.8765000000000001,-896.9999999999999,423,0,95,1,0,1,0,1
41,0.8733333333333333,-846.3599999999984,423,0,83,3,0,1,0,1
42,0.8701666666666666,-365.85999999999984,272,1,42,0,0,1,1,0
43,0.867,-1016.6400000000003,423,0,70,26,0,0,0,1
44,0.8638333333333333,-390.2500000000004,267,1,49,0,0,1,1,0
45,0.8606666666666667,-1081.9400000000019,423,0,73,31,0,0,0,1
46,0.8575,-789.2999999999984,423,0,73,0,0,1,0,1
47,0.8543333333333334,-893.5499999999998,423,0,84,3,1,0,0,1
48,0.8511666666666666,-828.0499999999996,423,0,72,4,0,1,0,1
49,0.848,-818.3199999999996,423,0,77,1,0,1,0,1
50,0.8448333333333333,-585.9199999999997,319,1,74,4,0,1,1,0
51,0.8416666666666667,-899.9799999999994,423,0,91,3,1,1,0,1
52,0.8385,-438.21,284,1,54,1,0,1,1,0
53,0.8353333333333334,-815.7299999999996,423,0,76,1,0,1,0,1
54,0.8321666666666667,-944.1999999999991,423,0,78,14,0,1,0,1
55,0.829,-535.0900000000007,271,1,76,2,1,1,1,0
56,0.8258333333333334,-741.2399999999993,423,0,59,0,0,1,0,1
57,0.8226666666666667,-200.95000000000027,165,1,21,5,0,1,1,0
58,0.8195,-943.7200000000034,423,0,67,17,1,0,0,1
59,0.8163333333333334,-1047.5899999999995,423,0,109,12,0,1,0,1
60,0.8131666666666667,-772.7499999999989,423,0,66,0,0,1,0,1
61,0.81,-806.0399999999997,423,0,67,4,0,1,0,1
62,0.8068333333333333,-899.8300000000004,423,0,98,2,0,1,0,1
63,0.8036666666666666,-821.8600000000009,423,0,68,6,0,1,0,1
64,0.8005,-888.6399999999999,423,0,63,17,0,1,0,1
65,0.7973333333333333,-855.7300000000005,423,0,55,12,4,1,0,1
66,0.7941666666666667,-909.2099999999973,423,0,52,16,4,0,0,1
67,0.791,-513.650000000001,314,1,60,3,0,1,1,0
68,0.7878333333333334,-271.8100000000001,216,1,34,0,0,1,1,0
69,0.7846666666666666,-908.3100000000028,423,0,75,10,0,0,0,1
70,0.7815,-767.0099999999985,423,0,53,5,1,1,0,1
71,0.7783333333333333,-718.439999999999,423,0,54,0,0,1,0,1
72,0.7751666666666667,-890.6900000000003,423,0,62,15,0,0,0,1
73,0.772,-297.57000000000005,234,1,36,0,0,1,1,0
74,0.7688333333333334,-1017.7500000000019,423,0,62,27,1,0,0,1
75,0.7656666666666667,-691.3999999999986,423,0,47,0,0,1,0,1
76,0.7625,-1021.8100000000022,423,0,56,32,0,0,0,1
77,0.7593333333333333,-770.6699999999992,423,0,66,1,0,1,0,1
78,0.7561666666666667,-186.96999999999974,186,1,22,0,0,1,1,0
79,0.753,-448.35999999999984,269,1,51,5,0,1,1,0
80,0.7498333333333334,-1040.5700000000008,423,0,69,26,1,0,0,1
81,0.7466666666666667,-727.3699999999992,423,0,55,0,0,1,0,1
82,0.7435,-638.2499999999987,414,1,65,0,1,1,1,0
83,0.7403333333333333,-435.39000000000027,298,1,48,1,0,1,1,0
84,0.7371666666666667,-377.43999999999954,298,1,36,0,0,1,1,0
85,0.734,-551.9400000000004,300,1,63,8,0,1,1,0
86,0.7308333333333333,-975.1600000000009,423,0,79,17,1,1,0,1
87,0.7276666666666667,-865.3399999999995,423,0,70,7,2,1,0,1
88,0.7245,-318.03000000000014,241,1,39,0,0,1,1,0
89,0.7213333333333334,-725.0099999999987,423,0,55,0,0,1,0,1
90,0.7181666666666666,-541.0999999999996,384,1,52,0,0,1,1,0
91,0.7150000000000001,-976.0400000000027,423,0,52,28,0,0,0,1
92,0.7118333333333333,-412.2399999999996,280,1,44,3,0,1,1,0
93,0.7086666666666668,-684.6499999999991,423,0,46,0,0,1,0,1
94,0.7055,-766.5099999999978,423,0,65,0,0,1,0,1
95,0.7023333333333333,-810.32,423,0,58,9,0,1,0,1
96,0.6991666666666667,-998.6299999999997,423,0,55,29,1,0,0,1
97,0.696,-1024.590000000001,423,0,50,33,2,0,0,1
98,0.6928333333333334,-410.9499999999996,278,1,33,7,0,1,1,0
99,0.6896666666666667,-679.0499999999989,423,0,44,0,0,1,0,1
100,0.6865,-408.7999999999998,283,1,49,0,0,1,1,0
101,0.6833333333333333,-868.6600000000018,423,0,58,15,0,1,0,1
102,0.6801666666666667,-308.81999999999994,246,1,34,0,0,1,1,0
103,0.677,-274.53999999999957,251,1,25,0,0,1,1,0
104,0.6738333333333333,-333.8299999999998,209,1,41,5,0,1,1,0
105,0.6706666666666667,-805.1999999999995,423,0,58,6,2,1,0,1
106,0.6675,-538.4299999999998,395,1,37,5,0,1,1,0
107,0.6643333333333333,-1068.3000000000013,423,0,66,32,1,0,0,1
108,0.6611666666666667,-378.66999999999956,309,1,35,0,0,1,1,0
109,0.658,-35.01000000000006,100,1,10,0,0,1,1,0
110,0.6548333333333334,-325.86000000000007,219,1,20,11,1,1,1,0
111,0.6516666666666667,-301.63000000000017,217,1,37,2,0,1,1,0
112,0.6485000000000001,-630.6399999999994,423,0,31,0,0,1,0,1
113,0.6453333333333333,-442.3299999999994,371,1,31,0,0,1,1,0
114,0.6421666666666668,-346.6599999999999,235,1,47,1,0,1,1,0
115,0.639,-142.17999999999995,157,1,19,0,0,1,1,0
116,0.6358333333333333,-339.6000000000001,268,1,36,0,0,1,1,0
117,0.6326666666666667,-200.3499999999999,184,1,26,0,0,1,1,0
118,0.6295,-209.46999999999957,226,1,16,0,0,1,1,0
119,0.6263333333333334,-170.4999999999999,176,1,22,0,0,1,1,0
