episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-841.9900000000005,423,0,61,12,0,1,0,1
2,0.9968333333333333,-1038.4999999999975,423,0,73,19,6,0,0,1
3,0.9936666666666667,-1020.5799999999979,423,0,52,24,12,1,0,1
4,0.9905,-954.1100000000021,423,0,58,24,0,1,0,1
5,0.9873333333333333,-871.0399999999988,423,0,66,6,3,0,0,1
6,0.9841666666666666,-921.5400000000017,423,0,76,13,0,1,0,1
7,0.981,-913.4499999999995,423,0,62,17,0,1,0,1
8,0.9778333333333333,-941.8499999999998,423,0,70,15,5,1,0,1
9,0.9746666666666667,-1033.3100000000009,423,0,80,23,1,1,0,1
10,0.9715,-947.3200000000028,423,0,76,16,0,1,0,1
11,0.9683333333333334,-948.270000000003,423,0,79,14,0,1,0,1
12,0.9651666666666666,-930.3699999999992,423,0,80,9,0,0,0,1
13,0.962,-901.970000000003,423,0,68,13,0,1,0,1
14,0.9588333333333333,-823.5600000000007,423,0,41,19,0,1,0,1
15,0.9556666666666667,-843.1899999999993,423,0,67,5,1,0,0,1
16,0.9525,-795.579999999999,423,0,54,11,0,1,0,1
17,0.9493333333333334,-1021.2500000000013,423,0,74,27,0,1,0,1
18,0.9461666666666667,-872.3299999999995,423,0,49,16,1,0,0,1
19,0.9430000000000001,-999.2900000000033,423,0,71,24,0,1,0,1
20,0.9398333333333333,-879.3800000000024,423,0,75,9,0,1,0,1
21,0.9366666666666666,-891.4900000000035,423,0,58,17,0,1,0,1
22,0.9335,-961.1900000000009,423,0,87,12,0,1,0,1
23,0.9303333333333333,-880.340000000003,423,0,61,14,0,1,0,1
24,0.9271666666666667,-958.8600000000023,423,0,63,24,0,1,0,1
25,0.924,-838.6300000000028,423,0,71,5,1,1,0,1
26,0.9208333333333334,-942.6500000000003,423,0,68,20,0,1,0,1
27,0.9176666666666666,-942.8900000000016,423,0,94,7,0,1,0,1
28,0.9145,-887.9500000000013,423,0,52,16,3,1,0,1
29,0.9113333333333333,-839.5100000000011,423,0,61,10,1,1,0,1
30,0.9081666666666667,-876.9400000000029,423,0,49,20,1,1,0,1
31,0.905,-939.8200000000036,423,0,77,14,0,1,0,1
32,0.9018333333333334,-787.1900000000011,423,0,43,13,0,1,0,1
33,0.8986666666666667,-935.3300000000021,423,0,92,8,0,1,0,1
34,0.8955,-649.8400000000005,375,1,48,15,0,1,1,0
35,0.8923333333333333,-667.3699999999997,381,1,62,11,0,1,1,0
36,0.8891666666666667,-955.1500000000004,423,0,76,14,2,1,0,1
37,0.886,-845.5100000000022,423,0,53,14,0,1,0,1
38,0.8828333333333334,-859.7299999999999,423,0,58,15,0,1,0,1
39,0.8796666666666667,-814.8999999999999,423,0,46,12,3,1,0,1
40,0.8765000000000001,-981.390000000002,423,0,81,18,0,1,0,1
41,0.8733333333333333,-924.4899999999998,423,0,62,18,0,1,0,1
42,0.8701666666666666,-1026.1700000000028,423,0,70,28,0,1,0,1
43,0.867,-509.52999999999923,326,1,46,7,0,1,1,0
44,0.8638333333333333,-959.7900000000018,423,0,70,19,1,1,0,1
45,0.8606666666666667,-828.370000000001,423,0,57,12,0,1,0,1
46,0.8575,-443.8800000000004,270,1,51,4,0,1,1,0
47,0.8543333333333334,-814.4300000000004,423,0,66,4,0,1,0,1
48,0.8511666666666666,-780.4000000000007,423,0,47,10,0,1,0,1
49,0.848,-357.1199999999999,234,1,41,3,1,1,1,0
50,0.8448333333333333,-536.8199999999997,390,1,44,4,0,1,1,0
51,0.8416666666666667,-742.6000000000003,423,0,42,11,0,1,0,1
52,0.8385,-824.720000000001,423,0,61,7,2,1,0,1
53,0.8353333333333334,-648.5099999999996,346,1,71,8,0,1,1,0
54,0.8321666666666667,-795.4999999999961,423,0,51,12,0,1,0,1
55,0.829,-882.2399999999996,423,0,56,14,4,1,0,1
