episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-841.9900000000005,423,0,61,12,0,1,0,1
2,0.9968333333333333,-1038.4999999999975,423,0,73,19,6,0,0,1
3,0.9936666666666667,-1020.5799999999979,423,0,52,24,12,1,0,1
4,0.9905,-954.1100000000021,423,0,58,24,0,1,0,1
5,0.9873333333333333,-871.0399999999988,423,0,66,6,3,0,0,1
6,0.9841666666666666,-921.5400000000017,423,0,76,13,0,1,0,1
7,0.981,-913.4499999999995,423,0,62,17,0,1,0,1
8,0.9778333333333333,-1039.4400000000019,423,0,82,20,5,1,0,1
9,0.9746666666666667,-1033.3100000000009,423,0,80,23,1,1,0,1
10,0.9715,-947.3200000000028,423,0,76,16,0,1,0,1
11,0.9683333333333334,-948.270000000003,423,0,79,14,0,1,0,1
12,0.9651666666666666,-930.3699999999992,423,0,80,9,0,0,0,1
13,0.962,-901.970000000003,423,0,68,13,0,1,0,1
14,0.9588333333333333,-831.3900000000008,423,0,43,19,0,1,0,1
15,0.9556666666666667,-843.2499999999993,423,0,67,5,1,0,0,1
16,0.9525,-802.1499999999996,423,0,56,11,0,1,0,1
17,0.9493333333333334,-971.5300000000003,423,0,77,20,0,1,0,1
18,0.9461666666666667,-835.4400000000002,423,0,52,11,1,0,0,1
19,0.9430000000000001,-1008.2800000000033,423,0,71,25,0,1,0,1
20,0.9398333333333333,-890.0200000000025,423,0,71,12,0,1,0,1
21,0.9366666666666666,-899.7600000000036,423,0,60,17,0,1,0,1
22,0.9335,-949.8299999999997,423,0,86,11,0,1,0,1
23,0.9303333333333333,-817.4200000000025,423,0,61,8,0,1,0,1
24,0.9271666666666667,-972.8400000000024,423,0,62,26,0,1,0,1
25,0.924,-879.4000000000026,423,0,76,7,1,1,0,1
26,0.9208333333333334,-851.3399999999989,423,0,65,11,0,1,0,1
27,0.9176666666666666,-917.840000000001,423,0,90,6,0,1,0,1
28,0.9145,-880.0200000000012,423,0,50,16,3,1,0,1
29,0.9113333333333333,-900.6900000000035,423,0,58,18,1,1,0,1
30,0.9081666666666667,-860.430000000003,423,0,47,19,1,1,0,1
31,0.905,-976.900000000003,423,0,85,15,0,1,0,1
32,0.9018333333333334,-843.780000000002,423,0,52,16,0,1,0,1
33,0.8986666666666667,-883.6900000000024,423,0,90,3,0,1,0,1
34,0.8955,-895.3899999999973,423,0,56,13,2,0,0,1
35,0.8923333333333333,-741.1000000000007,423,0,42,6,1,1,0,1
36,0.8891666666666667,-223.7999999999999,157,1,25,7,0,1,1,0
37,0.886,-843.5700000000003,423,0,53,16,0,1,0,1
38,0.8828333333333334,-747.8699999999991,423,0,51,3,2,1,0,1
39,0.8796666666666667,-913.930000000001,423,0,75,12,0,1,0,1
40,0.8765000000000001,-933.1100000000023,423,0,61,21,0,1,0,1
41,0.8733333333333333,-836.8399999999999,423,0,47,17,0,1,0,1
42,0.8701666666666666,-907.2800000000003,423,0,87,7,0,1,0,1
43,0.867,-765.350000000002,423,0,61,3,0,1,0,1
44,0.8638333333333333,-55.36000000000003,93,1,12,2,0,1,1,0
45,0.8606666666666667,-914.860000000001,423,0,68,15,1,1,0,1
46,0.8575,-578.0799999999989,374,1,60,2,0,1,1,0
47,0.8543333333333334,-977.3200000000018,423,0,84,17,0,1,0,1
48,0.8511666666666666,-786.8300000000019,423,0,52,8,1,1,0,1
49,0.848,-920.200000000001,423,0,75,13,0,1,0,1
50,0.8448333333333333,-762.9799999999992,423,0,38,14,0,1,0,1
51,0.8416666666666667,-957.6999999999999,423,0,96,8,0,1,0,1
52,0.8385,-807.1700000000004,423,0,63,6,1,1,0,1
53,0.8353333333333334,-659.9699999999993,409,1,65,4,0,1,1,0
54,0.8321666666666667,-720.0699999999996,423,0,51,3,0,1,0,1
55,0.829,-824.4700000000012,423,0,50,13,0,1,0,1
