target,scenario,transfer_mode,beta,transferred_states,transfer_percentage,skipped_changed_neighborhoods,skipped_missing_states,episodes,training_seconds,initial_success_rate,initial_average_reward,initial_average_steps,first_50_success_rate,first_100_success_rate,first_100_average_reward,first_100_average_steps,episode_to_80_percent,episode_to_90_percent,last_100_success_rate,last_100_average_reward,last_100_average_steps,last_100_wall_collisions,last_100_penalty_visits,final_success_rate,final_average_reward,final_average_steps,history_path,model_path,update_example_path,initial_success_gain_vs_scratch,first_100_reward_gain_vs_scratch,final_reward_gain_vs_scratch,negative_transfer_detected
similar,scratch,scratch,0.0,0,0.0,0,0,400,0.6647072993218899,2.0,-942.2876000000354,422.05,4.0,4.0,-840.0015000000005,419.81,307,325,100.0,-27.195200000000014,103.05,6.01,0.73,95.0,-35.70159999999921,110.43,results\raw_data\transfer\similar_scratch_training.csv,results\models\transfer\similar_scratch.json,results\raw_data\transfer\similar_scratch_update_example.json,0.0,0.0,0.0,False
similar,full,full,1.0,548,97.16312056737588,0,16,400,0.37769770063459873,98.0,-114.32219999999883,121.85,12.0,39.0,-672.7806000000005,352.72,109,116,100.0,52.596099999999986,51.5,1.94,0.25,100.0,58.01310000000019,48.33,results\raw_data\transfer\similar_full_training.csv,results\models\transfer\similar_full.json,results\raw_data\transfer\similar_full_update_example.json,96.0,167.22090000000003,93.7146999999994,False
similar,scaled_0_25,scaled,0.25,548,97.16312056737588,0,16,400,0.385138601064682,98.0,-114.32219999999883,121.85,8.0,37.0,-703.9354000000004,364.67,110,118,100.0,35.76309999999999,63.49,2.44,0.35,98.0,31.354300000000173,66.92,results\raw_data\transfer\similar_scaled_0_25_training.csv,results\models\transfer\similar_scaled_0_25.json,results\raw_data\transfer\similar_scaled_0_25_update_example.json,96.0,136.06610000000012,67.05589999999938,False
similar,scaled_0_50,scaled,0.5,548,97.16312056737588,0,16,400,0.3675810005515814,98.0,-114.32219999999883,121.85,6.0,41.0,-680.3796000000003,354.11,108,113,100.0,48.19749999999999,53.09,2.35,0.35,100.0,56.9275000000001,47.91,results\raw_data\transfer\similar_scaled_0_50_training.csv,results\models\transfer\similar_scaled_0_50.json,results\raw_data\transfer\similar_scaled_0_50_update_example.json,96.0,159.6219000000002,92.62909999999931,False
similar,scaled_0_75,scaled,0.75,548,97.16312056737588,0,16,400,0.3575135003775358,98.0,-114.32219999999883,121.85,6.0,34.0,-692.1404000000006,362.3,113,121,100.0,50.741399999999985,51.73,2.3,0.24,100.0,58.19690000000016,47.78,results\raw_data\transfer\similar_scaled_0_75_training.csv,results\models\transfer\similar_scaled_0_75.json,results\raw_data\transfer\similar_scaled_0_75_update_example.json,96.0,147.86109999999996,93.89849999999937,False
similar,selective,selective,1.0,376,66.66666666666667,172,16,400,0.38032460026443005,91.0,-343.75629999999114,255.38,6.0,26.0,-746.2558000000004,384.89,122,128,100.0,49.273799999999994,52.04,2.35,0.34,100.0,57.040600000000175,48.22,results\raw_data\transfer\similar_selective_training.csv,results\models\transfer\similar_selective.json,results\raw_data\transfer\similar_selective_update_example.json,89.0,93.74570000000017,92.74219999999939,False
different,scratch,scratch,0.0,0,0.0,0,0,400,0.4579969998449087,3.0,-1022.9428999999498,419.95,16.0,32.0,-781.1460000000008,372.4,184,202,98.0,28.761199999999963,60.8,4.65,0.3,99.0,40.73700000000043,58.42,results\raw_data\transfer\different_scratch_training.csv,results\models\transfer\different_scratch.json,results\raw_data\transfer\different_scratch_update_example.json,0.0,0.0,0.0,False
different,full,full,1.0,520,92.19858156028369,0,44,400,0.28452499955892563,0.0,-785.1845999998553,423.0,22.0,52.0,-632.4044000000002,310.51,95,110,100.0,72.6188,34.84,2.58,0.0,100.0,77.46769999999955,32.37,results\raw_data\transfer\different_full_training.csv,results\models\transfer\different_full.json,results\raw_data\transfer\different_full_update_example.json,-3.0,148.74160000000052,36.730699999999125,True
different,scaled_0_25,scaled,0.25,520,92.19858156028369,0,44,400,0.35529379919171333,0.0,-785.1845999998553,423.0,8.0,42.0,-689.1884000000007,333.91,108,120,100.0,65.29589999999999,39.69,2.86,0.07,100.0,78.1117999999996,32.33,results\raw_data\transfer\different_scaled_0_25_training.csv,results\models\transfer\different_scaled_0_25.json,results\raw_data\transfer\different_scaled_0_25_update_example.json,-3.0,91.95760000000007,37.374799999999176,True
different,scaled_0_50,scaled,0.5,520,92.19858156028369,0,44,400,0.3076606001704931,0.0,-785.1845999998553,423.0,20.0,53.0,-644.5362000000003,316.34,92,113,100.0,72.6703,34.78,2.6,0.0,100.0,77.87339999999952,32.51,results\raw_data\transfer\different_scaled_0_50_training.csv,results\models\transfer\different_scaled_0_50.json,results\raw_data\transfer\different_scaled_0_50_update_example.json,-3.0,136.6098000000004,37.13639999999909,True
different,scaled_0_75,scaled,0.75,520,92.19858156028369,0,44,400,0.29332689940929413,0.0,-785.1845999998553,423.0,30.0,56.00000000000001,-634.1280000000006,317.32,94,105,100.0,71.62049999999999,35.98,2.41,0.04,100.0,77.77309999999952,32.26,results\raw_data\transfer\different_scaled_0_75_training.csv,results\models\transfer\different_scaled_0_75.json,results\raw_data\transfer\different_scaled_0_75_update_example.json,-3.0,147.01800000000014,37.03609999999909,True
different,selective,selective,1.0,180,31.914893617021278,340,44,400,0.37330250069499016,28.0,-854.0177999999732,374.69,12.0,23.0,-822.0493000000005,391.54,141,147,100.0,65.7212,36.93,3.65,0.01,100.0,74.84879999999954,33.05,results\raw_data\transfer\different_selective_training.csv,results\models\transfer\different_selective.json,results\raw_data\transfer\different_selective_update_example.json,25.0,-40.90329999999972,34.111799999999114,True
